,altitude_control_task,altitude_control_task_main,check_failsafe_task,check_failsafe_task_main,check_mega128_values_task,check_mega128_values_task_main,climb_control_task,climb_control_task_main,link_fbw_send,link_fbw_send_main,radio_control_task,radio_control_task_main,send_data_to_autopilot_task,send_data_to_autopilot_task_main,servo_transmit,servo_transmit_main,stabilisation_task,stabilisation_task_main,test_ppm_task,test_ppm_task_main
altitude_control_task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altitude_control_task_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
check_failsafe_task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
check_failsafe_task_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
check_mega128_values_task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
check_mega128_values_task_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
climb_control_task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
climb_control_task_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
link_fbw_send,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
link_fbw_send_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radio_control_task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radio_control_task_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
send_data_to_autopilot_task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
send_data_to_autopilot_task_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servo_transmit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servo_transmit_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stabilisation_task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stabilisation_task_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_ppm_task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_ppm_task_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
