Task,Intra,Inter
powerwindow,163447606,228400
minver,344430,12700
binarysearch,12991,600
prime,1396928,113800
insertsort,97480,5100
fir2dim,533114,4700
petrinet,136419,0
iir,18619,300
st,5108383,57800
md5,2221242753,2700
cjpeg_transupp,3338056782,5200
ndes,3559704,130900
adpcm_dec,228547,17200
dijkstra,46031124177,0
statemate,147372,78500
gsm_enc,616628303,28700
fmref,56461112,150800
pm,821912566,19800
g723_enc,190337615,20400
huff_dec,44182412,3000
lift,60742612,108900
h264_dec,3102534,296100
audiobeam,47239722,4400
gsm_dec,78602980,14800
sha,274412580,200
jfdctint,77632,11900
