Task,Intra,Inter
powerwindow,163447606,20022200
minver,344430,24600
binarysearch,12991,600
prime,1396928,192500
insertsort,97480,22400
fir2dim,533114,20000
petrinet,136419,0
iir,18619,300
st,5108383,63100
md5,2221242753,2700
cjpeg_transupp,3338056782,11400
ndes,3559704,439700
adpcm_dec,228547,36100
dijkstra,46031124177,0
statemate,147372,669700
gsm_enc,616628303,50000
fmref,56461112,992000
pm,821912566,384800
g723_enc,190337615,102400
huff_dec,44182412,25700
lift,60742612,8699600
h264_dec,3102534,10969300
audiobeam,47239722,7200
gsm_dec,78602980,24000
sha,274412580,300
jfdctint,77632,14700
