,adpcm_dec,binarysearch,cover,fir2dim,fmref,huff_dec,iir,insertsort,jfdctint,ndes,st,statemate
adpcm_dec,17200,8400,17200,17200,17200,17200,3900,4900,16500,17200,10500,17200
cover,0,0,0,0,0,0,0,0,0,0,0,0
gsm_enc,28700,4500,18300,21000,34000,16000,0,300,8100,16000,8600,16000
matrix1,0,0,0,0,0,0,0,0,0,0,0,0
dijkstra,0,0,48700,0,0,0,0,0,0,0,0,0
h264_dec,155900,35500,639300,174900,723100,999800,7200,31300,157600,1229600,131500,1458200
md5,2700,0,53300,0,256000,28300,0,0,0,67700,104500,136200
sha,200,0,53400,200,64200,64100,0,0,0,200,100,0
audiobeam,4400,400,3000,3000,3000,3000,0,3000,3000,3000,3000,3000
huff_dec,3000,0,0,800,25700,138200,1400,1100,3000,97700,52700,132600
minver,12700,4500,29300,12500,16500,27800,1800,2500,11500,28300,17500,28300
st,57800,2300,72500,32700,57700,58000,400,16100,31000,66900,5600,65400
binarysearch,600,0,300,300,300,300,0,0,100,300,300,300
fft,0,0,0,0,0,0,0,0,0,0,0,0
iir,300,300,1200,300,300,300,100,200,800,900,700,900
ndes,130900,42800,218700,125800,272600,223000,3200,8400,83500,256300,96800,256300
statemate,78500,7300,632300,109500,360000,320200,7300,13600,52800,370000,182700,379900
bsort,0,0,0,0,0,0,0,0,0,0,0,0
filterbank,0,0,0,0,0,0,0,0,0,0,0,0
insertsort,5100,100,1600,800,800,800,300,800,300,1600,1300,1600
petrinet,0,0,0,0,0,0,0,0,0,0,0,0
cjpeg_transupp,5200,300,3600,2700,6600,3500,600,300,1300,3400,2100,6400
fir2dim,4700,200,7100,6600,7400,7400,300,1300,1500,7400,1100,7400
jfdctint,11900,6500,19600,14000,11900,21000,3500,4100,4800,18900,12100,18900
pm,19800,400,54100,3200,384700,384600,100,500,2500,109300,1100,213500
cjpeg_wrbmp,0,0,0,0,0,0,0,0,0,0,0,0
fmref,150800,20200,513600,118900,2121900,1863400,29500,59900,162200,1761100,762500,827100
lift,108900,5800,1087000,158600,500000,800100,3300,50300,61400,1171100,209000,1122900
powerwindow,228400,16400,3330000,611200,13671500,14940400,28900,91800,260600,4715700,641000,7787600
complex_updates,0,0,0,0,0,0,0,0,0,0,0,0
g723_enc,20400,800,51200,61900,102400,0,0,0,0,0,0,0
lms,0,0,0,0,0,0,0,0,0,0,0,0
prime,123200,15900,119800,75000,145800,126200,40700,32300,66900,132200,60300,152100
countnegative,0,0,0,0,0,0,0,0,0,0,0,0
gsm_dec,14800,0,16000,3200,24000,8000,200,0,1000,8000,200,8000
ludcmp,0,0,0,0,0,0,0,0,0,0,0,0
