,adpcm_dec,binarysearch,cover,fir2dim,fmref,huff_dec,iir,insertsort,jfdctint,ndes,st,statemate,average
adpcm_dec,0.012075,0.009255,0.064768,0.348677,5.12817,0.992069,0.005603,0.062077,0.025528,0.821708,11.714032,0.035183,1.6015954166666668
cover,0.000457,0.00045,0.000456,0.000484,0.000576,0.000505,0.000452,0.000492,0.000463,0.000445,0.000449,0.000757,0.0004988333333333333
gsm_enc,0.007024,0.004892,0.015962,0.088865,1.434266,0.259997,0.004022,0.012539,0.008527,0.208477,1.412335,0.018904,0.28965083333333336
matrix1,0.000148,0.000147,0.000143,0.000226,0.000167,0.000159,0.000223,0.000174,0.000232,0.000192,0.000281,0.000269,0.00019675
dijkstra,0.005763,0.005651,0.026806,0.00585,0.005835,0.005768,0.005825,0.009186,0.005869,0.005952,0.005922,0.005836,0.00785525
h264_dec,1.516692,0.793475,11.794108,130.449998,1980.646438,436.719229,0.740916,4.216011,3.768831,350.24385,1111.794477,12.931854,337.1346565833333
md5,0.018497,0.006643,0.027291,0.007463,3.150302,1.123416,0.009239,0.006619,0.008394,0.309093,3.197415,0.039292,0.6586386666666666
sha,0.033447,0.012767,0.172867,0.304688,21.695545,3.041017,0.010003,0.075391,0.007575,0.882128,6.384446,0.0,2.7183228333333336
audiobeam,4.376116,3.474285,7.685413,26.983574,411.649926,73.21308,3.10503,8.018416,5.398675,0.0,0.0,6.994034,45.90821241666668
huff_dec,0.011723,0.002583,0.002431,0.10958,3.096402,2.223674,0.014604,0.110948,0.07147,4.480476,30.745851,0.128226,3.4164973333333335
minver,0.204839,0.174259,1.767884,13.751795,221.780424,58.832209,0.073263,1.513061,0.310579,47.531324,500.216831,1.161681,70.60984575
st,0.311233,0.191395,2.266424,28.537725,355.530868,69.606052,0.070739,1.841998,2.258601,64.008507,3972.512387,3.993453,375.09411516666665
binarysearch,0.002806,0.001041,0.007909,0.034634,0.561315,0.109451,0.000717,0.006916,0.00392,0.089363,0.922567,0.00683,0.14562241666666667
fft,0.002499,0.002477,0.002436,0.002372,0.00453,0.00263,0.00236,0.004034,0.003635,0.002727,0.004697,0.002688,0.0030904166666666667
iir,0.002413,0.001102,0.011655,0.055118,0.914266,0.173474,0.000945,0.018031,0.009016,0.134328,1.741547,0.01354,0.25628625
ndes,0.228407,0.097899,1.216358,18.207996,123.582126,73.246657,0.032622,0.544606,1.258055,43.12601,868.028627,0.742079,94.19262016666669
statemate,0.008779,0.00509,0.32711,0.230336,7.93226,1.679334,0.007989,0.088943,0.018526,0.861825,16.169478,0.081719,2.2842824166666666
bsort,0.000245,0.000263,0.000272,0.000284,0.000266,0.000269,0.000253,0.000287,0.000266,0.000267,0.000308,0.000334,0.0002761666666666667
filterbank,0.00022,0.000229,0.000248,0.000387,0.000276,0.000277,0.000397,0.000282,0.000261,0.000268,0.000302,0.000287,0.00028616666666666667
insertsort,0.010561,0.004742,0.032647,0.234091,2.533332,0.748762,0.005893,0.040698,0.030012,0.519004,5.32652,0.051793,0.7948379166666667
petrinet,0.000667,0.001606,0.000617,0.001007,0.000684,0.00102,0.001013,0.001019,0.000689,0.001037,0.000741,0.00071,0.0009008333333333333
cjpeg_transupp,0.225397,0.127296,3.059938,59.557884,42.435265,78.929468,0.077861,0.443223,0.454924,62.709837,787.51709,0.537011,86.3395995
fir2dim,0.011344,0.00347,0.036661,0.513227,3.880196,1.739912,0.003666,0.04742,0.027439,1.160865,4.641405,0.025042,1.0075539166666665
jfdctint,0.016312,0.020105,0.140234,1.908879,11.535307,8.736147,0.008109,0.100995,0.11188,8.570093,143.139467,0.10768,14.532934
pm,1.760975,1.100643,8.081913,216.159261,765.987753,118.43203,0.27521,4.226271,3.777207,600.218405,1175.997151,10.441425,242.20485366666665
cjpeg_wrbmp,0.014651,0.012948,0.012617,0.012524,0.013307,0.012574,0.012749,0.01269,27.891834,0.012874,0.013358,0.012584,2.3362258333333332
fmref,0.074419,0.105894,0.755624,3.42785,292.920455,83.409935,0.115208,0.647587,0.513694,57.66802,512.642336,1.72138,79.50020016666666
lift,0.008608,0.003287,0.076308,0.196954,2.612096,1.850471,0.001566,0.036205,0.015601,0.892944,7.112001,0.04994,1.07133175
powerwindow,0.019307,0.01418,0.208294,0.437326,27.908349,9.729277,0.013631,0.146095,0.054499,2.969838,18.632931,0.292974,5.0355584166666665
complex_updates,0.000134,0.000136,0.000159,0.00015,0.000277,0.000155,0.000152,0.000158,0.000159,0.000152,0.000162,0.000169,0.00016358333333333337
g723_enc,0.004448,0.00255,0.012498,0.07719,1.20342,0.001794,0.001757,0.001196,0.001815,0.00117,0.001154,0.001783,0.10923125
lms,0.000228,0.000225,0.000198,0.000326,0.000247,0.000218,0.000318,0.000226,0.000328,0.000373,0.000279,0.000364,0.0002775
prime,30.634844,10.908603,163.285103,1354.41029,54978.001199,13270.078007,9.28296,91.506895,55.495632,10311.937609,21605.351862,152.547477,8502.78670675
countnegative,0.000156,0.000143,0.00018,0.000173,0.000173,0.000191,0.000245,0.000179,0.000191,0.000184,0.000179,0.000171,0.0001804166666666667
gsm_dec,0.00929,0.005464,0.021442,0.103949,3.09844,0.438167,0.004372,0.018076,0.011826,0.229106,2.798834,0.018838,0.5631503333333333
ludcmp,0.014091,0.010604,0.009896,0.010669,0.011102,0.015212,0.010429,0.010526,0.015791,0.010472,0.015945,0.010769,0.012125499999999999
