,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,sha_main,st_main,statemate_main
adpcm_dec_main,245747,245747,236947,245247,245747,243147,236047,239247,245747,245747,245747,245747,243147,245747,245747,245747,245747,245747,245747,245747,232447,233447,245047,245747,245747,245747,245747,245747,245447,245747,245747,245748,245747,239547,245747,239047,245748
audiobeam_main,47244122,0,47522953,47525553,0,47525553,47525553,47525553,47525553,47525553,0,47525553,47525553,47525553,47525553,47525553,47525553,47525554,0,47525553,47522553,47525553,47525553,47525553,47525553,47525553,47525553,47525553,0,47525553,47525553,0,47525553,0,47525553,47525553,47525553
binarysearch_main,13591,13004,12928,13228,13228,13228,13128,13228,13228,13228,0,13228,13228,13228,13228,13228,13228,13228,13228,13228,12928,12928,13028,13228,13228,13228,12928,13228,13228,13228,13228,13228,13229,13228,13229,13229,13228
bsort_main,19719033,19675152,19719033,19717256,19717257,19717256,19717257,19717256,19717257,19717257,0,0,19717257,19717256,19717257,19717257,19717257,19717257,19717256,19717257,19717256,19717256,19717256,19717256,19717257,19717256,19717257,19717256,19717256,19717257,19717256,19717257,19717257,19717256,19717257,19717257,19717257
cjpeg_transupp_main,3280343524,0,3280338624,3378474843,0,3319546326,3319545617,3319544524,3319547681,3319548882,0,0,3319546180,3319546126,3280344924,3319549350,3319546427,3319549133,3319547190,3319547162,3319546081,3280338624,3280339624,3319546831,3319548136,3319548885,3319545991,3319548011,3319546318,3319548882,3319549747,0,0,3319545618,3319549924,3319545746,3280344724
cjpeg_wrbmp_main,4384368,3828072,3993711,3593631,4104532,3593522,3593522,3593522,3593522,3593522,0,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593521,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593522,3593521,3593522,3593522,3593522,3593522,3593522,3593522,3593522
complex_updates_main,51807,52062,51807,52337,52062,52062,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336
countnegative_main,1564109,1640387,1564109,1643605,1640387,1640387,1640387,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605
cover_main,339916,324342,339916,348485,323902,324342,323902,339916,348485,348485,0,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485
dijkstra_main,46031124197,46031979007,46031126377,46191798793,46078221827,46100506824,46166242659,46053638738,46054949129,46239265282,0,0,46239265281,46239265281,46239265282,46239265281,46239265281,46239265281,46239265282,46239265281,46239265282,46239265281,46239265281,46239265281,46239265281,46239265281,46239265281,46239265282,46239265281,46239265282,46239265282,46239265282,46239265281,46239265281,46239265282,46239265282,46239265282
epic_main,31669,0,0,0,0,0,22802,13368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fft_main,4671519940,4671020334,4671519941,0,0,4671020334,4671020334,4671519946,4671018566,0,0,0,0,4671068962,4671067196,0,4671068963,0,4671067195,4671067195,4671068962,4671067195,4671067195,4671068963,4671068963,0,0,4671067195,4671067195,4670159452,0,0,4671068962,4671067195,4671067195,4671067195,4671067195
