,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,sha_main,st_main,statemate_main
adpcm_dec_main,0.012075,6264.065653,0.009255,0.017016,8.034622,10.265201,0.005624,0.023603,0.064768,0.354748,0.470702,0.235595,0.016518,0.348677,5.12817,0.047827,0.09367,0.058168,19.317481,0.992069,0.005603,0.062077,0.025528,0.01263,0.010455,2.976307,0.004355,0.409424,3.515509,0.821708,0.014111,107.767952,4.120534,275.372864,39.216868,11.714032,0.035183
audiobeam_main,4.376116,0,3.474285,4.189503,0,769.946919,3.216545,4.653567,7.685413,47.605075,0,32.062508,4.396857,26.983574,411.649926,8.388651,15.500891,10.720192,0,73.21308,3.10503,8.018416,5.398675,4.078021,3.515564,317.314553,3.110939,53.41798,0,0,4.498107,0,338.355042,0,1828.721981,0,6.994034
binarysearch_main,0.002806,409.542409,0.001041,0.002075,1.129428,0.956725,0.000769,0.002691,0.007909,0.067954,0,0.044356,0.002348,0.034634,0.561315,0.009211,0.019003,0.012543,1.613419,0.109451,0.000717,0.006916,0.00392,0.002122,0.001307,0.499924,0.000677,0.076113,0.33707,0.089363,0.002662,18.782159,0.438218,20.002197,2.376782,0.922567,0.00683
bsort_main,0.000245,0.000272,0.000263,0.000288,0.00057,0.000269,0.000251,0.00026,0.000272,0.000278,0,0,0.000278,0.000284,0.000266,0.000299,0.000291,0.000327,0.001313,0.000269,0.000253,0.000287,0.000266,0.00029,0.000295,0.000291,0.000291,0.0003,0.00027,0.000267,0.000277,0.000281,0.000291,0.000364,0.000376,0.000308,0.000334
cjpeg_transupp_main,0.225397,0,0.127296,0.415627,0,576.142279,0.115824,0.401824,3.059938,13.134668,0,0,0.912019,59.557884,42.435265,1.181646,4.053794,1.310319,3.559719,78.929468,0.077861,0.443223,0.454924,0.326345,0.133686,103.33209,0.071495,29.937693,108.791388,62.709837,0.468748,0,0,25.353924,228.231022,787.51709,0.537011
cjpeg_wrbmp_main,0.014651,0.013441,0.012948,0.013089,0.019068,0.021484,0.012661,0.014358,0.012617,0.012961,0,0.012641,0.012633,0.012524,0.013307,0.012487,0.013477,0.01251,0.013471,0.012574,0.012749,0.01269,27.891834,0.013206,0.027202,0.013118,0.013801,0.0124,0.013118,0.012874,0.012578,0.012504,0.012773,0.015349,0.012525,0.013358,0.012584
complex_updates_main,0.000134,0.000151,0.000136,0.000157,0.000226,0.000135,0.000161,0.000183,0.000159,0.000161,0.000296,0.000161,0.000175,0.00015,0.000277,0.000149,0.000164,0.000195,0.000217,0.000155,0.000152,0.000158,0.000159,0.000186,0.000206,0.000177,0.000182,0.000161,0.000158,0.000152,0.000184,0.000172,0.000156,0.000212,0.000173,0.000162,0.000169
countnegative_main,0.000156,0.00016,0.000143,0.000144,0.000293,0.000175,0.000149,0.000212,0.00018,0.000178,0.000567,0.000192,0.000194,0.000173,0.000173,0.000185,0.00018,0.000246,0.000211,0.000191,0.000245,0.000179,0.000191,0.000183,0.000196,0.000176,0.000183,0.000185,0.000196,0.000184,0.000181,0.000224,0.000178,0.000237,0.000176,0.000179,0.000171
cover_main,0.000457,0.00047,0.00045,0.000502,0.000837,0.000448,0.000455,0.000466,0.000456,0.000453,0,0.000457,0.000485,0.000484,0.000576,0.000463,0.000448,0.000468,0.000539,0.000505,0.000452,0.000492,0.000463,0.000459,0.000448,0.000485,0.000443,0.000455,0.000466,0.000445,0.000467,0.000474,0.000499,0.000539,0.000455,0.000449,0.000757
dijkstra_main,0.005763,1216.053779,0.005651,0.005492,4.312799,1.773596,0.006969,0.00582,0.026806,0.005147,0,0,0.008759,0.00585,0.005835,0.005999,0.005894,0.006015,0.016069,0.005768,0.005825,0.009186,0.005869,0.009023,0.005823,0.00916,0.00913,0.005716,0.00587,0.005952,0.005865,0.006032,0.005642,0.006283,0.005906,0.005922,0.005836
epic_main,0.030888,0,0,0,0,0,0.0295,0.051568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
