,adpcm_dec,audiobeam,binarysearch,bsort,cjpeg_transupp,cjpeg_wrbmp,complex_updates,countnegative,cover,dijkstra,epic,fft,filterbank,fir2dim,fmref,g723_enc,gsm_dec,gsm_enc,h264_dec,huff_dec,iir,insertsort,jfdctint,lift,lms,ludcmp,matrix1,md5,minver,ndes,petrinet,pm,powerwindow,prime,rijndael_dec,sha,st,statemate,tatemate
adpcm_dec,36100,669900,26700,19700,606100,166100,26800,61000,62000,26100,55500,48100,53100,264100,302000,37400,33100,33600,266500,176200,20800,23600,43600,38500,28900,121200,23600,129000,142700,163600,22500,621800,907600,245100,4888700,401700,250700,24400,0
audiobeam,7200,0,3000,3000,79500,16500,3000,9000,7500,3000,0,6000,3000,16500,45000,6000,3000,9000,21000,21000,0,3000,6000,3000,3000,24000,3000,16500,24000,28500,3000,0,123000,42000,0,67500,39000,3000,0
binarysearch,600,9900,300,300,4200,6600,300,300,900,300,0,1800,900,9000,4500,600,300,300,6300,4500,0,0,600,300,300,1200,300,3000,1800,4800,300,7200,9000,4200,165300,13200,5700,1200,0
bsort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cjpeg_transupp,11400,13700,2600,3500,0,6500,4300,4400,4800,4000,0,0,4400,6500,41500,3400,3400,3400,9800,7500,3300,15500,3100,3100,3500,5800,3000,5800,6500,7100,6000,0,0,12400,0,52200,9300,6400,0
cjpeg_wrbmp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
complex_updates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
countnegative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dijkstra,0,4200000,0,0,7400000,2000000,200000,0,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51600000,0,0,0,0
epic,167200,0,0,0,0,0,186300,596900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fir2dim,20000,19900,3200,4800,24000,64800,6900,3200,13400,8700,0,18300,12900,134100,102000,24200,10300,7400,46300,78000,7200,21900,14500,8000,7400,62700,10300,45700,26100,62600,9100,193800,206000,210500,0,144900,58900,10600,0
fmref,992000,16620800,2690400,1556300,13728000,4371200,1909600,2681600,2188800,1961900,0,2828800,992000,4793600,21535300,3824300,6460000,2619100,25434000,18197600,2691500,5680300,7740000,2339500,3051000,6808900,2473900,5608800,26303300,97289900,1919300,60220000,92651000,20460300,0,47708000,48847200,4117600,0
g723_enc,102400,1612800,256000,0,1459200,409600,51200,179200,281600,0,0,0,179200,1200000,2252800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gsm_dec,24000,376000,8000,2200,648000,96000,48000,72000,64000,40000,0,0,56000,264000,312000,16000,8000,8000,24000,112000,8000,8000,40000,8000,32000,56000,8000,72000,40000,88000,8000,192000,240000,288000,0,264000,40000,8000,0
gsm_enc,50000,456600,44600,58000,21100400,177900,63300,106600,76900,24000,0,0,52900,243100,620000,68000,68000,16000,208000,168000,8000,24000,48000,40000,16000,128000,40000,112000,64000,128000,24000,600000,432000,400000,0,384000,104000,32000,0
h264_dec,1318800,233155500,2785200,4876400,236574900,14255000,3303800,5956200,7936200,4622300,0,49366800,3830800,20457900,21287900,6587600,6723100,4025500,39265100,17226300,3325400,4312900,4036000,1286000,3752600,18075200,1532500,30887300,29826100,31078700,2058400,0,18638000,108787700,0,202148300,25163300,3732600,0
huff_dec,25700,7735900,0,643100,3079500,1028000,205800,0,0,901400,0,256000,0,409600,282700,514300,0,514200,312200,1261800,360700,180600,721100,180600,361100,1081500,180600,540900,2523200,1261700,180600,7748900,10451900,2162700,0,5766700,4505300,540900,0
iir,300,22200,300,1500,36000,7200,900,1800,6000,300,0,600,3600,2100,3600,2100,300,300,3300,2100,1200,3600,3300,900,2400,5700,900,5400,12300,8100,900,35100,33300,14700,0,22200,21000,2700,0
insertsort,22400,237600,24000,4800,28000,8000,2400,34400,6400,6400,0,3200,3200,5600,144000,5600,1600,6400,6400,11200,42400,2400,4800,3200,4000,12000,3200,10400,14400,11200,3200,53600,48000,40000,0,65600,26400,4000,0
jfdctint,14700,359800,33600,18900,226100,131600,27300,58800,49700,18900,0,45500,35000,123200,110600,31500,17500,13300,70000,128100,16100,16100,35700,20300,29400,74200,22400,71400,104300,116900,22400,384300,354900,232400,0,362600,196700,29400,0
lift,8699600,18696900,3099900,2400000,40395600,5800000,3800000,8099100,14899700,21700000,0,2200000,2899700,35600000,6199300,15700000,1900000,8000000,14899100,10300000,5700000,2200000,1300000,3800000,6000000,27100000,3800000,17400000,22900000,28500000,9000000,118400000,0,79600000,0,0,72800000,4500000,0
lms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ludcmp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
md5,2700,12544000,0,281600,11264000,0,256000,2700,768000,256000,0,4500,1284500,3328000,2304000,768000,0,537600,243900,244800,768000,256000,1024000,0,2700,1024000,0,1792000,1280000,5888000,537600,5632000,15641600,10265600,0,6912000,2816000,1536000,0
minver,24600,734600,27600,52000,692100,249000,49900,90500,125100,29900,0,0,62300,205800,749600,62600,41700,46700,515100,556800,11800,24500,75800,36200,42900,151000,70700,192200,126700,179400,39700,576300,697300,247700,0,658500,360500,68800,0
ndes,439700,10873300,202700,271400,4376900,1781800,296300,714900,513100,328900,0,427800,407600,1139600,2783000,393200,168700,239200,2559700,952500,367400,1502100,375000,230200,762800,389100,494600,250100,2625300,1667100,310000,7630500,5056900,2545900,0,6345800,3157500,426400,0
petrinet,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pm,384800,0,1536100,786700,0,3072900,384900,3456500,2305000,384900,0,0,0,4225100,3457400,1170700,1153400,414500,0,7296500,402300,1565900,1164700,385000,384800,5376600,0,2304500,1164900,5009900,397200,18857800,11922400,3456800,0,9216400,8501400,1920300,0
powerwindow,20022200,456369700,25301400,34183200,0,254515900,27543400,29103400,72378800,35255800,0,54406400,48247000,247289300,222881100,45706400,17677800,21584900,111343200,167787100,32719900,9571500,47367000,0,37793000,162421400,25196900,44731600,146988600,205592200,27540400,620050100,716007400,310191600,0,0,427296500,27152300,0
prime,133400,1532900,120300,144100,1521200,497100,140200,217200,289800,161900,0,211600,178800,534200,1041100,203100,141000,152500,757900,674100,143500,122900,195500,128300,139500,464700,126200,365900,440500,593000,113400,1594600,3457400,673400,0,2833300,964500,199400,0
