Benchmark,adpcm_dec,binarysearch,cover,fir2dim,fmref,huff_dec,iir,insertsort,jfdctint,ndes,st,statemate,AVG
adpcm_dec,0.48,0.31,0.28,0.07,0.06,0.1,0.19,0.21,0.38,0.11,0.04,0.7,0.24
binarysearch,1.0,0.0,0.33,0.03,0.07,0.07,1.0,1.0,0.17,0.06,0.05,0.25,0.34
cover,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fir2dim,0.24,0.06,0.53,0.05,0.07,0.09,0.04,0.06,0.1,0.12,0.02,0.7,0.17
fmref,0.15,0.01,0.23,0.02,0.1,0.1,0.01,0.01,0.02,0.02,0.02,0.2,0.07
huff_dec,0.12,1.0,1.0,0.0,0.09,0.11,0.0,0.01,0.0,0.08,0.01,0.25,0.22
iir,1.0,1.0,0.2,0.14,0.08,0.14,0.08,0.06,0.24,0.11,0.03,0.33,0.29
insertsort,0.23,0.0,0.25,0.14,0.01,0.07,0.01,0.33,0.06,0.14,0.05,0.4,0.14
jfdctint,0.81,0.19,0.39,0.11,0.11,0.16,0.22,0.25,0.13,0.16,0.06,0.64,0.27
ndes,0.3,0.21,0.43,0.11,0.1,0.23,0.01,0.01,0.22,0.15,0.03,0.6,0.2
st,0.92,0.04,0.51,0.15,0.2,0.34,0.01,0.34,0.27,0.27,0.01,0.82,0.32
statemate,0.12,0.03,0.18,0.03,0.07,0.07,0.01,0.01,0.05,0.09,0.05,0.7,0.12
audiobeam,0.61,0.13,0.4,0.18,0.07,0.14,1.0,1.0,0.5,0.11,0.08,1.0,0.43
bsort,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cjpeg_transupp,0.46,0.12,0.75,0.42,0.16,0.47,0.18,0.02,0.42,0.48,0.23,1.0,0.39
cjpeg_wrbmp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
complex_updates,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
countnegative,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dijkstra,1.0,1.0,0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92
epic,0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93
fft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
filterbank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
g723_enc,0.2,0.0,0.18,0.05,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62
gsm_dec,0.62,0.0,0.25,0.01,0.08,0.07,0.02,0.0,0.02,0.09,0.0,1.0,0.18
gsm_enc,0.57,0.1,0.24,0.09,0.05,0.1,0.0,0.01,0.17,0.12,0.08,0.5,0.17
h264_dec,0.12,0.01,0.08,0.01,0.03,0.06,0.0,0.01,0.04,0.04,0.01,0.39,0.07
lift,0.01,0.0,0.07,0.0,0.08,0.08,0.0,0.02,0.05,0.04,0.0,0.25,0.05
lms,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ludcmp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
matrix1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
md5,1.0,1.0,0.07,0.0,0.11,0.12,0.0,0.0,0.0,0.01,0.04,0.09,0.2
minver,0.52,0.16,0.23,0.06,0.02,0.05,0.15,0.1,0.15,0.16,0.05,0.41,0.17
petrinet,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92
pm,0.05,0.0,0.02,0.0,0.11,0.05,0.0,0.0,0.0,0.02,0.0,0.11,0.03
powerwindow,0.01,0.0,0.05,0.0,0.06,0.09,0.0,0.01,0.01,0.02,0.0,0.29,0.04
prime,0.92,0.13,0.41,0.14,0.14,0.19,0.28,0.26,0.34,0.22,0.06,0.76,0.32
rijndael_dec,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sha,0.67,0.0,0.14,0.1,0.06,0.14,0.0,0.0,1.0,0.15,0.12,1.0,0.28
tatemate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
