,adpcm_dec,binarysearch,cover,fir2dim,fmref,huff_dec,iir,insertsort,jfdctint,ndes,st,statemate
adpcm_dec,36100,26700,62000,264100,302000,176200,20800,23600,43600,163600,250700,24400
cover,0,0,0,0,0,0,0,0,0,0,0,0
gsm_enc,50000,44600,76900,243100,620000,168000,8000,24000,48000,128000,104000,32000
matrix1,0,0,0,0,0,0,0,0,0,0,0,0
dijkstra,0,0,1800000,0,0,0,0,0,0,0,0,0
h264_dec,1318800,2785200,7936200,20457900,21287900,17226300,3325400,4312900,4036000,31078700,25163300,3732600
md5,2700,0,768000,3328000,2304000,244800,768000,256000,1024000,5888000,2816000,1536000
sha,300,64000,384200,2100,1088400,448100,100,500,0,1300,800,100
audiobeam,7200,3000,7500,16500,45000,21000,0,3000,6000,28500,39000,3000
huff_dec,25700,0,0,409600,282700,1261800,360700,180600,721100,1261700,4505300,540900
minver,24600,27600,125100,205800,749600,556800,11800,24500,75800,179400,360500,68800
st,63100,52500,141000,222000,288100,171200,55800,46800,114700,244900,384100,79800
binarysearch,600,300,900,9000,4500,4500,0,0,600,4800,5700,1200
fft,0,0,0,0,0,0,0,0,0,0,0,0
iir,300,300,6000,2100,3600,2100,1200,3600,3300,8100,21000,2700
ndes,439700,202700,513100,1139600,2783000,952500,367400,1502100,375000,1667100,3157500,426400
statemate,669700,209800,3440000,3365800,4818200,4310000,650000,1559600,1069500,4200000,3809700,539800
bsort,0,0,0,0,0,0,0,0,0,0,0,0
filterbank,0,0,0,0,0,0,0,0,0,0,0,0
insertsort,22400,24000,6400,5600,144000,11200,42400,2400,4800,11200,26400,4000
petrinet,0,200,0,0,0,0,0,0,0,0,0,0
cjpeg_transupp,11400,2600,4800,6500,41500,7500,3300,15500,3100,7100,9300,6400
fir2dim,20000,3200,13400,134100,102000,78000,7200,21900,14500,62600,58900,10600
jfdctint,14700,33600,49700,123200,110600,128100,16100,16100,35700,116900,196700,29400
pm,384800,1536100,2305000,4225100,3457400,7296500,402300,1565900,1164700,5009900,8501400,1920300
cjpeg_wrbmp,0,0,0,0,0,0,0,0,0,0,0,0
fmref,992000,2690400,2188800,4793600,21535300,18197600,2691500,5680300,7740000,97289900,48847200,4117600
lift,8699600,3099900,14899700,35600000,6199300,10300000,5700000,2200000,1300000,28500000,72800000,4500000
powerwindow,20022200,25301400,72378800,247289300,222881100,167787100,32719900,9571500,47367000,205592200,427296500,27152300
complex_updates,0,0,0,0,0,0,0,0,0,0,0,0
g723_enc,102400,256000,281600,1200000,2252800,0,0,0,0,0,0,0
lms,0,0,0,0,0,0,0,0,0,0,0,0
prime,133400,120300,289800,534200,1041100,674100,143500,122900,195500,593000,964500,199400
countnegative,0,0,0,0,0,0,0,0,0,0,0,0
gsm_dec,24000,8000,64000,264000,312000,112000,8000,8000,40000,88000,40000,8000
ludcmp,0,0,0,0,0,0,0,0,0,0,0,0
