,adpcm_dec,binarysearch,cover,fir2dim,fmref,huff_dec,iir,insertsort,jfdctint,ndes,st,statemate
adpcm_dec,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228548
cover,339916,339916,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485
gsm_enc,616628304,616847067,617718741,597975306,616850954,620005337,620005337,620005337,620005337,620005337,620005337,620005337
matrix1,1549912,1549911,1544815,1544712,1549911,1549911,1543006,1544712,1544713,1543006,1543006,1543006
dijkstra,46031124197,46031126377,46054900429,46239265281,46239265282,46239265281,46239265282,46239265281,46239265281,46239265282,46239265282,46239265282
h264_dec,3095947,2919365,94109395,2246048,89034172,3237408,88847330,94144777,99346044,3118765,99346044,94144778
md5,2221242753,2269142029,2269542520,2158275039,2221014913,2266127233,2193144441,2160105440,2225633760,2226418247,2270306366,2226418247
sha,274412579,275883306,276127258,275156853,276018911,277449621,275897987,275494796,275547351,275356658,275769615,275769615
audiobeam,47239722,47522553,47522553,47522553,47522553,47522553,47522553,47522553,47522553,47522553,47522553,47522553
huff_dec,44182412,44181965,43475036,44398201,44996835,42332987,42332987,42332988,42332988,42332988,42332988,42332987
minver,344430,340270,320161,344769,340796,319958,330944,272436,351680,330176,330175,330176
st,5108383,5331287,5651492,5112847,5109311,5222245,5220287,5221841,5334538,5111396,5332713,5221948
binarysearch,12991,12928,12928,12928,12928,12928,12928,12928,12928,12928,12929,12928
fft,4671519940,4671519941,4671018566,4671068962,4671067196,4671068963,4671068962,4671067195,4671067195,4670159452,4671067195,4671068963
iir,18619,18559,19179,18121,18577,18619,18710,18710,18710,18710,18710,18709
ndes,3559704,3468483,3663068,3541953,3625686,3694642,3781860,3813443,3720689,3739555,3739555,3739555
statemate,147372,7142303,7024340,148123,7157849,146566,7149542,7114544,7130949,7247681,7230107,7230107
bsort,19719033,19719033,19717257,19717256,19717257,19717257,19717256,19717256,19717256,19717257,19717257,19717257
filterbank,39929891,39929891,39919003,39916216,39916216,39916216,39916216,39916215,39916215,39916215,39916215,39916216
insertsort,97480,97203,127033,116309,97385,96193,98014,98023,98023,98024,98024,98023
petrinet,136419,133747,144933,145713,133109,137945,141122,140515,142001,139250,142012,142012
cjpeg_transupp,3280338324,3280338324,3319544081,3319543426,3280338324,3319543662,3319545481,3280338324,3280338324,3319545482,3319543646,3280338324
fir2dim,533113,517586,514847,516240,516240,516241,516241,516241,516241,516241,516241,516241
jfdctint,77632,71470,71479,75276,78987,69520,75314,76657,74707,74707,74707,74707
pm,821912566,823487043,822958253,823099922,823399644,821912566,822533436,824301889,823611492,822000739,823251416,823253273
cjpeg_wrbmp,4384368,3993711,3593522,3593522,3593522,3593521,3593522,3593522,3593522,3593521,3593522,3593522
fmref,56461112,59380281,55610122,53143603,59003320,59015058,59064248,59395360,59324383,58910160,59245280,59315487
lift,60742612,60843932,60070750,59614158,61548440,59008883,57550914,58547527,57402384,56530046,56530046,56530047
powerwindow,163447606,195529383,195897644,194672705,197430843,159965241,162411209,197627586,193514723,197864085,196242506,196242506
complex_updates,51807,51807,52336,52336,52336,52336,52336,52336,52336,52336,52336,52336
g723_enc,190337614,190711375,176524848,189079625,189894441,178082827,178082827,178082827,178082827,178082827,178082827,178082827
lms,13452876,13452875,13487749,13613384,13452875,13452876,13506744,13613384,13613384,13527647,13527647,13527647
prime,1453869,269629,1438812,1475608,248935,1449702,1441799,1465664,1469293,1445543,1429590,1431346
countnegative,1564109,1564109,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605
gsm_dec,78602979,78604894,80871122,80471804,79529362,79489840,79489841,79489841,79489841,79489841,79489840,79489840
ludcmp,709015,709014,693565,710115,709014,709015,702057,710116,710116,702056,702056,702056
