,adpcm_dec,binarysearch,cover,fir2dim,fmref,huff_dec,iir,insertsort,jfdctint,ndes,st,statemate,average
adpcm_dec,0.174515,0.062638,0.219561,0.393653,2.172431,2.075336,0.050067,0.340525,0.092179,1.645687,12.385648,0.236098,1.6540281666666665
cover,0.511283,0.06602,0.568071,0.607996,9.919248,3.913321,0.083672,0.464254,0.191094,1.935282,12.901522,1.45277,2.71787775
gsm_enc,0.19744,0.454218,1.705627,2.099756,8.909793,6.463335,0.257251,1.256918,0.424799,5.985455,38.78466,0.701284,5.603378
matrix1,0.087098,0.013048,0.064179,0.084832,0.898957,0.45936,0.00722,0.03611,0.019417,0.243125,0.9515,0.136873,0.25014325
dijkstra,0.33401,0.042531,0.373991,0.374986,8.653362,2.267681,0.1555,0.31377,0.126985,1.309702,13.261527,0.871586,2.34046925
h264_dec,50.662962,9.732175,76.200474,59.798546,922.152235,301.552248,8.093767,47.612314,22.118202,11.858061,1420.985313,121.641362,254.36730491666665
md5,1.970965,1.361335,8.762678,2.897857,57.476529,12.749671,0.379524,2.72578,0.679885,9.835522,194.45329,2.828207,24.676770250000004
sha,17.045326,1.624301,21.219424,20.872918,320.615303,97.057695,2.162256,10.080275,5.54691,75.425887,261.715274,0.0,69.44713075
audiobeam,5714.654312,654.722518,4997.46629,4748.328961,53737.002984,27287.355574,615.747129,2431.025793,1917.76035,20919.398605,44761.883245,15294.74759,15256.674445916668
huff_dec,5.752617,0.685295,5.907858,2.99508,51.810375,23.750384,0.581376,3.060239,1.017235,13.109737,60.161606,7.159691,14.665957750000002
minver,20.797415,2.55637,15.860839,10.351569,222.7328,61.317447,1.986272,6.626535,3.760114,67.149644,226.992383,40.476756,56.717345333333334
st,34.871496,2.858322,41.276019,26.802361,445.307876,137.79759,2.561668,17.464412,7.214058,103.570532,430.544224,58.974501,109.10358824999999
binarysearch,0.212252,0.024241,0.163454,0.177796,2.618742,1.104533,0.022165,0.076927,0.045691,0.876588,1.922365,0.328526,0.6311066666666667
fft,0.257926,0.084319,0.294034,0.132561,2.55737,0.856053,0.01664,0.147393,0.073528,0.627833,3.792275,0.603313,0.7869370833333332
iir,0.219392,0.018947,0.133794,0.084324,1.647267,0.798808,0.019591,0.05578,0.032134,0.404648,2.02123,0.275098,0.47591775
ndes,3.009902,0.623055,2.818298,2.283936,36.330909,13.321734,0.301841,1.618953,0.80684,14.355818,42.674479,5.679456,10.318768416666666
statemate,0.206968,0.088681,0.696516,0.510469,4.248842,2.298641,0.072137,0.738148,0.125194,1.792446,15.098557,0.44456,2.1934299166666666
bsort,0.47824,0.028318,0.350125,0.302919,3.760806,2.070858,0.039161,0.177947,0.118661,1.036475,3.09776,0.574499,1.0029807499999999
filterbank,0.26502,0.038923,0.270494,0.226823,2.794324,0.919996,0.021002,0.160476,0.077209,0.663762,2.957663,0.352639,0.7290275833333334
insertsort,1.175568,0.089835,1.246936,0.588604,11.162417,3.996863,0.078489,0.597405,0.225028,2.892696,13.211536,2.494911,3.1466906666666667
petrinet,0.208432,0.07273,0.179312,0.438567,2.0326,1.274412,0.034931,0.242009,0.061869,0.891323,8.063305,0.190201,1.1408075833333333
cjpeg_transupp,3.21622,0.423797,3.586774,3.097185,49.90701,30.829074,0.594108,1.730265,1.022048,16.512115,49.294143,7.567553,13.981691
fir2dim,1.513729,0.19959,1.203055,0.643732,11.58634,4.150509,0.082313,0.414329,0.229007,3.094122,10.962562,1.763385,2.9868894166666666
jfdctint,0.24691,0.02608,0.260666,0.155322,2.382434,0.914937,0.020574,0.109696,0.046347,0.698552,3.134479,0.365112,0.6967590833333334
pm,135.586874,9.811094,133.296828,125.064937,1997.399596,388.928182,13.814648,60.553857,39.062044,496.248347,1708.058721,290.870731,449.8913215833333
cjpeg_wrbmp,48.240406,5.012151,40.351614,27.11451,693.49973,234.346998,5.21698,25.309894,17.868453,182.869639,548.713577,115.433034,161.99808216666665
fmref,4.655678,1.008106,8.116759,5.383143,102.924193,27.665575,0.691732,4.150755,1.596118,21.555382,149.555781,9.170835,28.039504750000003
lift,0.09043,0.042397,0.644875,0.186788,1.809801,0.87808,0.02513,0.164078,0.075784,0.658574,4.900667,0.166987,0.8036325833333334
powerwindow,3.553382,0.628443,2.94313,3.443795,34.44641,14.66708,0.495966,2.14379,0.847058,12.73226,64.83161,4.160817,12.074478416666667
complex_updates,0.151816,0.017055,0.101777,0.127396,2.506615,0.522554,0.018308,0.080992,0.032357,0.603437,2.593036,0.248432,0.5836479166666667
g723_enc,0.20944,0.150714,0.315124,0.526981,6.040216,2.147681,0.104912,0.702617,0.111055,1.677045,15.930862,0.302407,2.351587833333333
lms,0.17045,0.01542,0.2118,0.095118,1.583115,0.583114,0.01954,0.100571,0.034812,0.439065,1.753404,0.236996,0.4369504166666667
prime,589.91731,66.989235,576.3499,448.62051,7542.326128,2619.494523,55.989448,242.560997,139.036916,1858.680977,5587.04907,1133.436417,1738.3709525833335
countnegative,0.422761,0.028858,0.38496,0.314045,6.433329,1.88919,0.040489,0.191176,0.130209,1.59905,4.975134,0.831574,1.43673125
gsm_dec,0.592077,0.422947,1.046832,1.603766,14.575794,6.390461,0.199221,2.124672,0.340454,5.855349,44.855114,0.787882,6.566214083333333
ludcmp,1.716666,0.187342,2.890493,0.823026,19.487847,6.95814,0.109707,0.53336,0.476199,4.213294,14.239686,2.478385,4.509512083333333
