,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,rijndael_dec_main,sha_main,st_main,statemate_main
adpcm_dec_main,0.174515,1560.947477,0.062638,0.177177,0,13.886127,0.048026,0.112677,0.219561,0.182377,4.977133,0.108784,0.161254,0.393653,2.172431,0.400633,1.040938,0.490335,31.573324,2.075336,0.050067,0.340525,0.092179,0.0732,0.06068,0.579096,0.021411,2.499242,6.79064,1.645687,0.169461,32.187231,1.733322,182.098397,3913.498889,4.713627,12.385648,0.236098
audiobeam_main,5714.654312,0,654.722518,1192.27583,10666.671758,0,611.616813,1097.998936,4997.46629,6287.546216,0,2235.730656,2113.982424,4748.328961,53737.002984,16579.328093,44416.831632,45213.153621,14113.600978,27287.355574,615.747129,2431.025793,1917.76035,4782.9529,1077.720913,8095.117723,654.019243,70723.333738,35579.712421,20919.398605,7895.697612,0,43623.895118,30428.518832,0,51883.864165,44761.883245,15294.74759
binarysearch_main,0.212252,664.389888,0.024241,0.031236,0.422821,4.061912,0.020986,0.027605,0.163454,0.169525,0,0.090417,0.075736,0.177796,2.618742,0.545902,1.272234,1.519751,21.728541,1.104533,0.022165,0.076927,0.045691,0.136427,0.027493,0.345762,0.023055,4.411001,2.536741,0.876588,0.323476,8.929722,1.451616,46.505177,1870.336892,2.161161,1.922365,0.328526
bsort_main,0.47824,964.223503,0.028318,0.085194,1.105253,8.343477,0.03722,0.065613,0.350125,0.283742,0,0,0.086421,0.302919,3.760806,0.841786,1.838274,2.577907,43.552249,2.070858,0.039161,0.177947,0.118661,0.199251,0.066783,0.398184,0.034793,7.67177,3.612241,1.036475,0.52691,23.028059,1.784017,88.186794,3229.264678,4.986083,3.09776,0.574499
cjpeg_transupp_main,0,10174.326535,0.423797,1.217523,0,112.781424,0.61072,0.737028,3.586774,4.106497,0,0,1.979293,3.097185,0,18.323553,51.333942,37.830208,14.92244,30.829074,0.594108,0,0,2.850532,0.732427,5.684224,0.588074,117.950588,52.779342,16.512115,5.265401,0,0,52.8369,0,98.455774,49.294143,0
cjpeg_wrbmp_main,48.240406,0,5.012151,10.108383,181.526166,1006.280397,3.296041,9.367894,40.351614,55.894502,0,21.436429,17.473677,27.11451,693.49973,102.557522,373.788003,288.771874,7149.037013,234.346998,5.21698,25.309894,17.868453,31.061786,9.641864,52.21183,3.301175,1017.291414,415.7591,182.869639,64.113344,2998.011141,402.318363,9313.96633,0,586.819424,548.713577,115.433034
complex_updates_main,0.151816,415.937521,0.017055,0.031832,0.471944,2.356016,0.015424,0.019867,0.101777,0.181347,4.865005,0.066866,0.052907,0.127396,2.506615,0.2657,1.178627,0.730745,26.216101,0.522554,0.018308,0.080992,0.032357,0.123204,0.028169,0.253699,0.016739,3.728915,1.065496,0.603437,0.210496,8.204437,1.157871,24.039732,1360.100635,1.601954,2.593036,0.248432
countnegative_main,0.422761,1075.876005,0.028858,0.072715,0.733715,8.693093,0.025377,0.04916,0.38496,0.436292,17.590125,0.171593,0.08932,0.314045,6.433329,0.94347,1.948634,2.972466,53.312326,1.88919,0.040489,0.191176,0.130209,0.288715,0.072023,0.464619,0.039472,7.949269,2.608405,1.59905,0.564598,17.76038,3.013211,73.248696,3801.521924,4.682966,4.975134,0.831574
cover_main,0.511283,2603.50355,0.06602,0.165911,2.15912,12.658224,0.050984,0.246965,0.568071,0.640123,0,0.28167,0.222533,0.607996,9.919248,0.977312,3.690593,4.206764,75.436841,3.913321,0.083672,0.464254,0.191094,1.092924,0.13815,1.559232,0.053756,19.886527,8.373652,1.935282,0.569856,63.46537,5.324644,217.468105,6558.996297,16.163778,12.901522,1.45277
dijkstra_main,0.33401,1781.890668,0.042531,0.07551,1.094737,13.734167,0.053188,0.112032,0.373991,0.347365,0,0,0.133996,0.374986,8.653362,1.214838,3.751204,2.339744,41.412138,2.267681,0.1555,0.31377,0.126985,0.246522,0.052174,0.720323,0.164342,14.085464,5.547457,1.309702,0.355303,43.394381,2.960934,146.011735,4469.602139,4.329164,13.261527,0.871586
