,adpcm_dec_main,audiobeam_main,cjpeg_wrbmp_main,dec_main,dijkstra_main,fmref_main,gsm_dec_main,h264_dec_main,huff_dec_main,main_main,ndes_main,petrinet_main,rijndael_dec_main,rijndael_enc_main,statemate_main,wrbmp_main
adpcm_dec_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
audiobeam_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
cjpeg_wrbmp_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
dec_main,158.59639071428572,158.59639071428572,158.59639071428572,328.1723509285714,158.59639071428572,158.59639071428572,158.59639071428572,158.59639071428572,158.59639071428572,223.54679196428572,158.59639071428572,158.59639071428572,158.59639071428572,158.59639071428572,158.59639071428572,200.05546171428574
dijkstra_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
fmref_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
gsm_dec_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
h264_dec_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
huff_dec_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
main_main,64.6276135,64.6276135,64.6276135,223.8632282142857,64.6276135,64.6276135,64.6276135,64.6276135,64.6276135,129.255227,64.6276135,64.6276135,64.6276135,64.6276135,64.6276135,96.49653049999999
ndes_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
petrinet_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
rijndael_dec_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
rijndael_enc_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
statemate_main,0,0,0,158.59639071428572,0,0,0,0,0,64.6276135,0,0,0,0,0,31.868917
wrbmp_main,31.868917,31.868917,31.868917,216.76470771428572,31.868917,31.868917,31.868917,31.868917,31.868917,96.49653049999999,31.868917,31.868917,31.868917,31.868917,31.868917,63.737834
