,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,245429,238999,245429,245429,245429,245429,239816,237503,245429,245429,245429,245429
binarysearch_main,16504,14070,14487,14486,14486,14486,14071,14071,14486,14486,14486,14486
cover_main,339916,339916,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485
fir2dim_main,545827,520018,524485,540172,540172,540172,532500,520364,536017,540172,540172,540172
fmref_main,56627448,60933625,55769097,53382387,60716619,60734245,60696906,60869811,61111667,60760107,61111667,60955571
huff_dec_main,45007078,44181964,43795772,44982518,45661133,42519569,42519570,42412657,42519570,42519569,42519569,42519570
iir_main,19865,19597,20425,19466,19403,19865,18710,18710,19945,19946,19946,19945
insertsort_main,118631,98835,128473,119413,118931,99250,98742,99656,102554,102554,102554,102553
jfdctint_main,90983,85415,92161,91272,90983,90983,83474,85661,92308,92308,92308,92308
ndes_main,4393873,4052756,4615192,4398836,4378641,4482450,3853313,4203936,4522301,4393016,4393016,4393017
st_main,5169818,5350947,5736042,5195172,5170642,5283885,5247495,5261235,5416785,5195064,5417626,5304170
statemate_main,148412,7225995,7243447,150825,7251141,149268,7253749,7176941,7307739,7361876,7406193,7406193
