,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,74.406286,48.78258099999999,77.327864,72.026914,234.73172599999998,92.60240999999999,48.628555000000006,48.865697,53.41541599999999,84.522464,64.74644,122.675653
binarysearch_main,48.78258099999999,11.436174,39.968785,33.14123,197.87937799999997,55.024753999999994,13.281142,13.453596000000001,15.883348000000002,48.236993,28.798706,80.928752
cover_main,77.327864,39.968785,65.935322,62.530353,223.625018,85.90122299999999,44.082121,44.789963,47.058400999999996,78.898775,61.874955,118.44198399999999
fir2dim_main,72.026914,33.14123,62.530353,49.086152,207.95987,75.753105,33.681827,33.188763,36.431698,67.802205,50.585388,103.279819
fmref_main,234.73172599999998,197.87937799999997,223.625018,207.95987,359.32491,228.23550699999998,187.00370600000002,181.814319,183.002778,224.486953,196.435297,260.039523
huff_dec_main,92.60240999999999,55.024753999999994,85.90122299999999,75.753105,228.23550699999998,87.474558,53.032466,52.37733,57.04215000000001,89.20535100000001,70.3026,123.355468
iir_main,48.628555000000006,13.281142,44.082121,33.681827,187.00370600000002,53.032466,12.510082,14.329085,17.156367000000003,48.184081,32.31359,83.491429
insertsort_main,48.865697,13.453596000000001,44.789963,33.188763,181.814319,52.37733,14.329085,12.335834,17.17202,47.284878,31.277785,83.08595
jfdctint_main,53.41541599999999,15.883348000000002,47.058400999999996,36.431698,183.002778,57.04215000000001,17.156367000000003,17.17202,17.541168,50.841093,34.197859,85.08929
ndes_main,84.522464,48.236993,78.898775,67.802205,224.486953,89.20535100000001,48.184081,47.284878,50.841093,70.928282,66.602957,123.97255200000001
st_main,64.74644,28.798706,61.874955,50.585388,196.435297,70.3026,32.31359,31.277785,34.197859,66.602957,46.898156,101.50959599999999
statemate_main,122.675653,80.928752,118.44198399999999,103.279819,260.039523,123.355468,83.491429,83.08595,85.08929,123.97255200000001,101.50959599999999,117.408162
