,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,73.95862600000001,54.08415599999999,83.070582,78.775315,281.322025,106.010926,53.663438,54.18155900000001,56.540847,93.170677,82.101068,140.039745
binarysearch_main,54.07786,12.058457,44.430775,39.612996,234.222698,61.209033,17.991542,17.248913,17.209296000000002,56.501878999999995,35.112103,87.128522
cover_main,83.012313,44.42314,70.80323,73.280932,273.580117,101.033864,50.7996,50.880705999999996,52.389287,90.199679,70.036138,128.491527
fir2dim_main,78.467556,39.580354,73.325481,52.445586,251.064309,87.78082599999999,37.591493,37.262051,41.560976,77.802396,62.175487000000004,115.761952
fmref_main,276.663502,233.768089,274.324518,250.58233700000002,613.338523,327.109623,216.263582,210.59616900000003,209.944843,312.083503,623.666405,298.060438
huff_dec_main,105.103792,61.106105,101.035733,86.830027,272.849376,95.02261100000001,61.79307,59.164582,63.321259,104.162725,131.525145,137.069772
iir_main,53.660324,17.991998000000002,50.81108999999999,37.644416,216.755367,61.882256999999996,13.158757000000001,17.502389,20.138444,59.209053,40.405443,88.805227
insertsort_main,54.128839,17.246679,50.91473499999999,37.374939,212.357716,59.51970300000001,17.495098000000002,13.994553,20.710466,55.172836000000004,40.880644000000004,87.916444
jfdctint_main,56.531298,17.220305,52.556545,42.632692,219.842747,68.044603,20.137665,20.781194,20.572774,63.971621,128.23860200000001,91.007251
ndes_main,92.666235,56.499182999999995,91.94403400000002,89.44556800000001,381.13825299999996,163.18408,59.111171,55.244789000000004,59.749148000000005,122.54683,962.81119,131.038592
st_main,71.531926,33.778679,72.283643,87.557486,468.43360600000005,161.809401,38.750456,37.196627,39.849912,125.708417,1599.6894410000002,108.468361
statemate_main,140.013874,87.126851,128.74340999999998,115.94346399999999,301.369664,139.172255,88.801758,87.935639,90.945496,131.239792,114.235268,120.871891
