,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,245747,236947,245747,245747,245747,245747,232447,233447,245047,245747,239047,245748
binarysearch_main,13591,12928,13228,13228,13228,13228,12928,12928,13028,13228,13229,13228
cover_main,339916,339916,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485
fir2dim_main,537813,517786,521947,522841,523640,523641,516541,517541,517741,523641,517341,523641
fmref_main,56611912,59400481,56123722,53262503,61125220,60878458,59093748,59455260,59486583,60671260,60007780,60142587
huff_dec_main,44185412,44181965,43475036,44399001,45022535,42471187,42334387,42334088,42335988,42430688,42385688,42465587
iir_main,18919,18859,20379,18421,18877,18919,18810,18910,19510,19610,19410,19609
insertsort_main,102580,97303,128633,117109,98185,96993,98314,98824,98323,99624,99324,99623
jfdctint_main,89532,77970,91079,89276,90887,90520,78814,80757,79507,93607,86807,93607
ndes_main,3690604,3511283,3881768,3667753,3898286,3917642,3785060,3821843,3804189,3995854,3836355,3995855
st_main,5166183,5333587,5723992,5145547,5167011,5280245,5220687,5237941,5365538,5178296,5338313,5287348
statemate_main,225872,7149603,7656640,257623,7517849,466766,7156842,7128144,7183749,7617681,7412807,7610007
