,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,17200,8400,17200,17200,17200,17200,3900,4900,16500,17200,10500,17200
binarysearch_main,600,0,300,300,300,300,0,0,100,300,300,300
cover_main,0,0,0,0,0,0,0,0,0,0,0,0
fir2dim_main,4700,200,7100,6600,7400,7400,300,1300,1500,7400,1100,7400
fmref_main,150800,20200,513600,118900,2121900,1863400,29500,59900,162200,1761100,762500,827100
huff_dec_main,3000,0,0,800,25700,138200,1400,1100,3000,97700,52700,132600
iir_main,300,300,1200,300,300,300,100,200,800,900,700,900
insertsort_main,5100,100,1600,800,800,800,300,800,300,1600,1300,1600
jfdctint_main,11900,6500,19600,14000,11900,21000,3500,4100,4800,18900,12100,18900
ndes_main,130900,42800,218700,125800,272600,223000,3200,8400,83500,256300,96800,256300
st_main,57800,2300,72500,32700,57700,58000,400,16100,31000,66900,5600,65400
statemate_main,78500,7300,632300,109500,360000,320200,7300,13600,52800,370000,182700,379900
