,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,0.011632,0.008956,0.0587,0.318412,4.728644,0.918079,0.005475,0.06353,0.025936,0.736162,10.94474,0.034096
binarysearch_main,0.00266,0.001607,0.008097,0.036295,0.559962,0.105334,0.000709,0.007234,0.004227,0.089847,1.621786,0.006452
cover_main,0.000431,0.000462,0.00044,0.000454,0.000468,0.000483,0.000487,0.000464,0.00048,0.000471,0.00051,0.00045
fir2dim_main,0.010653,0.003653,0.045003,0.293734,3.47635,1.016239,0.00381,0.028407,0.017079,0.645983,4.077747,0.022701
fmref_main,0.070121,0.105353,0.744869,2.994378,227.499027,56.649449,0.058169,0.512503,0.29848,46.304586,394.175033,0.922518
huff_dec_main,0.010945,0.002406,0.002352,0.06544,2.389202,3.700567,0.009585,0.063922,0.113127,4.089843,52.489163,0.174339
iir_main,0.002361,0.001165,0.011977,0.056733,0.549954,0.098772,0.000929,0.010912,0.005637,0.123235,1.723435,0.00804
insertsort_main,0.01081,0.005,0.034493,0.141295,2.27405,0.419043,0.003621,0.039953,0.030321,0.410614,5.063723,0.029515
jfdctint_main,0.016387,0.015236,0.167738,1.088795,10.196384,4.836471,0.004858,0.101049,0.069208,4.972441,89.656873,0.078527
ndes_main,0.23172,0.087151,1.744826,12.289155,115.359336,63.111198,0.025353,0.482567,0.749968,48.5531,891.034075,0.904378
st_main,0.375598,0.288362,2.248015,29.459746,238.942234,82.773419,0.068448,1.379706,1.268183,53.931302,1551.152487,2.653324
statemate_main,0.008225,0.004781,0.252333,0.204213,4.231744,2.276822,0.004571,0.04871,0.016772,1.105578,8.420231,0.042493
