,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,powerwindow_main,prime_main,st_main,statemate_main
adpcm_dec_main,0,0,64.366336,0,0,62.37721,0,0,0,0,0,0,309.416796,0,0,0,603.572303,0,0,0,61.577858,0,0,0,57.397954,0,0,0,122.978891,0,0,0,167.641841
audiobeam_main,0,0,0,984.6534009999999,0,0,0,0,4889.148617000001,0,0,3788.025521,0,0,0,0,0,0,0,2336.3390070000005,1506.384063,3397.4569539999998,0,6429.687993,543.8549740000001,0,0,0,0,0,0,0,0
binarysearch_main,64.497946,0,13.606091,0,31.116602,15.818359000000001,0,51.384393,31.698521,25.867021,29.146486,42.466593,0,121.32496699999999,307.45148099999994,972.91088,0,80.480126,20.306590999999997,21.653115999999997,20.313495,0,24.526585999999998,42.522234000000005,15.030059,0,67.654284,65.63583399999999,0,250.47540899999998,70.778225,38.546957,0
bsort_main,0,909.0248929999999,0,0,0,17.406219,20.208557,48.181872,0,0,0,0,266.940468,123.035172,308.76212100000004,0,489.10898899999995,72.368077,18.464925,15.878688,0,47.564082,19.687259,0,19.382464,230.629506,0,0,63.766864,234.634756,0,0,111.443476
cjpeg_wrbmp_main,0,0,31.650856,0,835.839746,0,38.693498999999996,93.61906099999999,94.17336699999998,54.350284,62.355218,104.741118,0,227.53951899999998,644.2204260000001,1377.775912,0,246.836948,40.415856,50.509366,0,81.791775,40.430858,127.574974,0,594.0143380000001,388.81534,218.15222,0,481.2856,7924.316764,482.127079,0
complex_updates_main,62.482654,0,15.814494,17.401464,0,16.622661,18.208194,0,39.543453,29.52156,0,38.125449,264.610779,126.76194799999999,0,978.001591,467.31302600000004,79.133845,17.349486,0,21.099755000000002,46.713043,21.538902,0,18.118468,231.722905,0,58.669965999999995,72.01772700000001,0,52.059866,43.036774,98.325774
countnegative_main,0,0,0,20.214191999999997,38.495042,18.213221,22.439945,57.11055,42.106911,27.386879,37.112941,46.540942,273.385824,123.014396,322.08531200000004,991.333797,560.753113,72.756013,19.732591,17.360976,19.444840999999997,45.917324,22.047522999999998,50.334389,17.895239,210.13891800000002,65.334858,62.728729,72.130741,229.04996899999998,88.36814000000001,42.235113999999996,102.465472
cover_main,0,0,51.311496,48.054410999999995,69.62242599999999,0,56.935811,0,0,0,71.099444,79.627154,328.001477,165.802972,366.30186399999997,1044.780149,582.1019739999999,107.19092799999999,52.704744000000005,55.722671000000005,66.837509,79.657298,61.093491,101.505341,63.398436000000004,287.741384,115.219208,113.98879099999999,125.36186,283.465344,220.898549,91.11985200000001,148.77221200000002
dijkstra_main,0,1297.882611,31.588836999999998,0,55.667553,39.469214,41.913351999999996,0,0,0,58.470478,56.936802,289.411544,127.723129,330.122951,1101.305937,486.500521,92.842586,33.537638,37.586276,42.393508000000004,62.502024000000006,38.114075,61.197744,34.324553,267.897041,0,84.189414,92.243094,274.24866599999996,163.442459,63.31998,119.05568199999999
fft_main,0,0,25.812469999999998,0,45.732299999999995,29.498486,27.289093,0,0,0,0,0,0,0,0,0,0,0,0,26.707815,33.735867,52.098298,33.039383,0,0,0,0,82.578065,0,0,87.569421,0,0
filterbank_main,0,0,29.143175,0,55.539511,0,37.048905,71.128184,58.603183,0,0,52.971311,292.433647,149.109577,351.874483,1068.3956759999999,519.632003,94.176342,32.071148,31.807828999999998,38.973081,62.453143,38.418847,60.32201,32.662731,245.018155,98.90841,70.919764,85.380333,289.078745,110.21862200000001,56.074394,115.456222
fir2dim_main,0,2873.128863,42.446422,0,95.72332699999998,38.129356,46.483781,80.136934,57.521525,0,53.120608000000004,0,313.26631,152.460708,366.888369,1274.84986,599.113378,122.300287,49.718261,46.191315,46.669916,71.213648,48.630216,65.182828,49.977789,260.20381599999996,109.162524,92.198687,115.10779400000001,295.389619,302.13304,80.055134,136.850111
fmref_main,311.649463,0,0,264.237277,0,263.856567,271.296818,327.074467,290.82062599999995,0,291.50273799999997,307.063113,0,0,710.356028,1607.162145,1716.98787,385.654659,285.208815,260.560638,303.589788,339.04879600000004,330.524872,380.79773,289.672005,0,401.373841,359.622864,350.02582300000006,642.5400300000001,2961.2341890000002,438.982023,383.15280900000005
g723_enc_main,0,0,121.092756,122.63583499999999,166.10112,126.56933999999998,122.589293,165.29202400000003,127.463543,0,148.777256,150.91077,0,223.93399599999998,496.915839,1408.398501,632.304012,191.024367,136.220183,150.31829000000002,139.993475,167.019767,146.14858099999998,176.392018,137.977679,433.99404000000004,0,187.67403000000002,191.06614000000002,436.55661499999997,462.02107300000006,172.265064,243.12001
gsm_dec_main,0,0,306.76303599999994,307.57857500000006,443.33035800000005,0,320.64265500000005,364.80914,329.30762300000004,0,351.087505,362.70467600000006,693.8740809999999,496.86259399999994,0,0,0,391.933983,350.196113,352.298383,348.027979,376.25532599999997,362.139721,337.522609,321.711978,0,455.351761,406.324821,426.905653,606.424085,1275.617872,439.024625,487.694263
gsm_enc_main,0,0,972.218581,0,1189.213005,977.526871,989.986043,1043.191544,1100.0219479999998,0,1067.354984,1269.105999,1585.699546,1407.9391879999998,0,2045.22433,1721.4258730000001,1098.913059,1068.991412,1045.6664930000002,1146.5463129999998,1092.190273,1103.893282,1066.656334,1108.483453,1377.631301,0,1144.044428,1265.729908,1435.54217,1950.018896,1073.704641,1294.739976
h264_dec_main,629.623144,0,0,469.822484,0,457.769322,539.32242,580.727902,495.670934,0,514.376696,516.277907,1886.91578,710.060892,0,1907.062541,8199.545259,801.2777970000001,373.046911,437.020921,501.477721,604.5207770000001,417.997663,533.006171,500.562869,0,0,0,604.931894,1211.731512,0,1918.872968,677.175119
huff_dec_main,0,0,80.224363,71.945194,178.678483,78.935331,72.29522899999999,108.65498299999999,94.999163,0,94.41486599999999,121.144858,409.79945899999996,198.109305,408.10400300000003,1120.032524,987.4205079999999,0,0,75.816913,77.106721,112.88136399999999,78.308503,0,83.506572,328.627166,169.00645500000002,131.25641299999998,144.382948,357.924842,1227.6121739999999,153.76093,170.308127
iir_main,0,0,20.304223,18.462182,39.241168,17.353302,19.724884,52.775955,33.651657,0,32.08629,49.720271999999994,286.16435,136.484124,350.771519,1069.7394,380.516528,0,0,20.440357,23.417427,47.664536,25.716062,46.058657,22.067847,249.530269,0,59.828768999999994,73.675409,255.745253,66.100106,56.425751999999996,120.21487200000001
insertsort_main,0,2603.6377740000003,21.667538999999998,15.910828,54.045347,0,17.385824999999997,56.136556,38.305873,27.010677,31.996944,46.365590000000005,267.5723,152.294019,356.018461,1049.6529600000001,505.382976,76.753537,20.463065999999998,0,22.519419,47.196983,29.549635,45.938745,22.458472,232.326596,70.503473,62.57180700000001,71.155697,264.767901,197.21459000000002,54.415354,110.229929
jfdctint_main,61.66693599999999,856.2731860000001,20.295678,0,0,21.086561,19.414568,66.89289099999999,42.535360000000004,33.763723,38.979677,46.596231,304.376104,140.240249,348.854829,1147.719158,515.5154279999999,77.004423,23.405867,22.404086999999997,0,0,31.061167,51.483229,24.3206,229.330851,76.214393,70.892662,78.57896099999999,236.4506,91.466675,48.607012,133.490651
lift_main,0,1079.63956,0,47.378839,66.292147,46.661390999999995,45.740741,79.520422,62.456182,52.029921,62.382596,70.7809,337.691726,167.098789,376.51149899999996,1092.497997,588.7732120000001,111.31268299999999,47.610338999999996,46.781957,0,62.282776,55.891130000000004,79.990929,48.811172,266.494607,107.10989799999999,95.93812,107.56891300000001,0,158.128906,73.057972,0
lms_main,0,0,24.515784999999997,19.662292,37.72489,21.533228,22.028125,61.123723999999996,38.179941,33.05353100000001,38.423941,48.586678,330.910392,146.39511299999998,362.712995,1104.4161119999999,422.76840899999996,78.267545,25.707002,29.458349999999996,31.063088999999998,55.941919,0,0,0,246.998804,82.54403400000001,70.718095,83.318296,278.59258,64.676973,48.35817900000001,111.44824599999998
ludcmp_main,0,3571.5077480000004,42.43097,0,103.86386300000001,0,50.137799,102.025588,61.900871,0,60.399313,64.83686,387.072916,179.09988900000002,342.89524300000005,1071.98817,592.763023,0,45.949225,45.347328000000005,51.538462,80.517145,0,0,0,0,0,101.59781799999999,113.418538,322.606932,335.503553,87.168809,140.59923500000002
matrix1_main,57.433799,343.82180800000003,15.023771,19.373007,0,18.113895,17.884062999999998,63.419984,34.373901000000004,0,32.665933,49.936705,290.021752,138.075411,322.03261599999996,1108.768967,503.391433,83.454286,22.064230000000002,22.419652,24.321457000000002,48.839759,0,0,20.982806000000004,235.433374,64.791537,61.497958999999994,68.547957,267.235586,46.142903000000004,40.486091,114.70370600000001
md5_main,0,0,0,228.967806,364.062131,230.86752399999997,208.13073400000002,285.273512,267.10582800000003,0,243.98927600000002,253.87216099999998,0,434.61816600000003,0,1381.238739,0,306.586957,248.747816,226.43750999999997,228.259005,266.356072,246.057943,0,235.018317,0,0,307.498477,329.22519800000003,575.487384,1959.9958729999998,0,361.071564
minver_main,0,0,67.6763,0,362.921772,0,65.448123,124.296368,0,0,101.041061,111.11198999999999,537.022094,0,521.1332520000001,0,0,185.28281800000002,0,69.653785,77.83354299999999,114.71141399999999,83.744742,0,65.361372,0,0,0,0,0,0,0,0
ndes_main,0,0,65.406634,0,162.19435699999997,58.587121999999994,62.242287000000005,114.745179,86.049826,82.94618799999999,71.095756,91.38850099999999,374.39839099999995,191.86733900000002,420.233702,1155.891709,0,131.46841,59.725962,61.298064,71.00095,97.100073,70.76329,101.47562099999999,61.521013999999994,327.850703,0,0,132.469824,342.22759199999996,886.610158,148.198185,169.992957
petrinet_main,122.952518,0,0,63.520340000000004,0,71.914044,71.884363,125.06029799999999,92.015952,0,85.230809,113.70831000000001,346.535353,191.08176500000002,427.043168,1265.984713,558.235046,141.25262999999998,73.564174,70.33463400000001,78.42335,107.52541400000001,83.212773,112.308197,68.488093,328.799074,0,129.46941700000002,0,328.840754,223.479632,119.82631800000001,212.10343899999998
powerwindow_main,0,0,249.97548499999996,233.837172,372.039935,0,228.14365899999999,283.240902,275.071291,0,288.717837,291.696013,645.2678310000001,439.86293,618.183096,1447.032858,1223.237078,347.990963,255.37784900000003,261.693581,235.792923,0,278.349961,319.723781,267.09739,588.556235,0,334.892666,330.848755,0,0,380.951337,0
prime_main,0,0,88.84216699999999,0,10231.409418,75.663092,121.054359,555.7585770000001,581.438908,240.18622299999998,223.287403,508.06014500000003,7884.400277,1461.558434,4056.2790130000003,4806.343701,0,2703.866211,91.46649199999999,274.349276,172.27027999999999,444.238356,112.73119100000001,779.5909369999999,73.988574,6025.305270000001,0,1932.150716,801.1368829999999,0,0,5639.992769,1242.2090749999998
st_main,0,0,39.291711,0,641.247724,44.645406,43.486266,101.910213,83.093579,0,61.009445,95.894933,734.734118,219.35745100000003,593.796877,1202.943049,4284.448548,231.39691400000004,56.96619,58.66823,52.68659099999999,86.529908,50.964339,115.128991,41.941133,0,0,209.094238,145.51868,495.157285,5122.0631490000005,0,185.071847
