,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,powerwindow_main,prime_main,st_main,statemate_main
adpcm_dec_main,0,0,255247,0,0,255347,0,0,0,0,0,0,530547,0,0,0,495047,0,0,0,272147,0,0,0,252147,0,0,0,251047,0,0,0,252948
audiobeam_main,0,0,0,46608669,0,0,0,0,46604169,0,0,46652069,0,0,0,0,0,0,0,46607069,46608669,46607168,0,46623669,46604169,0,0,0,0,0,0,0,0
binarysearch_main,13591,0,13228,0,19528,13228,0,13828,13228,14728,13828,21928,0,13528,13228,13228,0,17428,12928,12928,13528,0,13228,14128,13228,0,14728,17728,0,21929,17128,18629,0
bsort_main,0,19718806,0,0,0,19717257,19717256,19717257,0,0,0,0,19717257,19717257,19717257,0,19717256,19717257,19717256,19717256,0,19717256,19717257,0,19717257,19717257,0,0,19717256,19717257,0,0,19717257
cjpeg_wrbmp_main,0,0,3993711,0,3593522,0,3593522,3593522,3593522,3593522,3593522,3593522,0,3593522,3593522,3593522,0,3593521,3593522,3593522,0,3593522,3593522,3593522,0,3593522,3593522,3593521,0,3593522,3593522,3593522,0
complex_updates_main,51807,0,51807,52337,0,52336,52336,0,52336,52336,0,52336,52336,52336,0,52336,52336,52336,52336,0,52336,52336,52336,0,52336,52336,0,52336,52336,0,52336,52336,52336
countnegative_main,0,0,0,1643605,1640387,1640387,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605,1643605
cover_main,0,0,339916,348485,324342,0,339916,0,0,0,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485
dijkstra_main,0,46173104341,46031126377,0,46102506524,46166442659,46053638738,0,0,0,46239265281,46239265281,46239265282,46239265281,46239265281,46239265281,46239265282,46239265281,46239265282,46239265281,46239265281,46239265281,46239265281,46239265281,46239265281,46239265281,0,46239265282,46239265282,46239265281,46239265281,46239265282,46239265282
fft_main,0,0,4671519941,0,4671020334,4671020334,4671519946,0,0,0,0,0,0,0,0,0,0,0,0,4671067195,4671067195,4671068963,4671068963,0,0,0,0,4670159452,0,0,4671067195,0,0
filterbank_main,0,0,39929891,0,39919003,0,39929891,39919003,39916215,0,0,39916216,39916216,39916216,39916215,39916216,39916216,39916216,39916216,39916215,39916215,39916216,39916216,39916216,39916216,39916216,39916215,39916215,39916216,39916216,39916216,39916215,39916216
fir2dim_main,0,528162,520786,0,573838,520405,540449,528247,538794,0,527851,0,618240,540441,526540,523641,562540,594241,523441,538141,530741,524241,523640,578940,526541,561941,542341,578841,525341,722241,726741,575141,526841
fmref_main,57453112,0,0,57868785,0,61249218,55208458,57798922,59771149,0,57068359,57937203,0,0,65778047,61620436,84533538,77212658,61755748,65075660,67064383,61534974,62334674,65901966,61493566,0,85688292,156200060,61320829,151610614,79519590,108092480,63433087
g723_enc_main,0,0,190967375,178871368,179197673,179237757,190678862,176806448,177551626,0,177628977,190279625,0,178082827,178082826,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082827,178082826,0,178082827,178082827,178082827,178082827,178082827,178082827
gsm_dec_main,0,0,78612894,79601586,81444460,0,78674980,80935122,79522875,0,80927122,80735804,79841362,79615597,0,0,0,79601840,79497841,79497841,79529841,79497840,79521840,79545840,79497840,0,79529841,79577841,79497841,79729840,79777840,79529840,79497840
gsm_enc_main,0,0,616891667,0,485129233,618462981,617070672,617795641,619622347,0,617771641,598218406,617470954,621659613,0,620021337,620213338,620173337,620013337,620029337,620053337,620045337,620021337,620133337,620045337,620117337,0,620133337,620029337,620437337,620405337,620109337,620037337
h264_dec_main,4414747,0,0,103685237,0,96534266,9216273,102045595,7849806,0,97941026,22703948,110322072,100464684,0,102607300,41744069,20463708,92172730,98457677,103382044,4016958,6477443,20964838,101052854,0,0,0,101134545,118368449,0,124509344,97877378
