,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,powerwindow_main,prime_main,st_main,statemate_main
adpcm_dec_main,0,0,26700,0,0,26800,0,0,0,0,0,0,302000,0,0,0,266500,0,0,0,43600,0,0,0,23600,0,0,0,22500,0,0,0,24400
audiobeam_main,0,0,0,9100,0,0,0,0,4600,0,0,52500,0,0,0,0,0,0,0,7500,9100,7600,0,24100,4600,0,0,0,0,0,0,0,0
binarysearch_main,600,0,300,0,6600,300,0,900,300,1800,900,9000,0,600,300,300,0,4500,0,0,600,0,300,1200,300,0,1800,4800,0,9000,4200,5700,0
bsort_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cjpeg_wrbmp_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
complex_updates_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
countnegative_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cover_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dijkstra_main,0,0,0,0,2000000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fft_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterbank_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fir2dim_main,0,0,3200,0,64800,6900,3200,13400,8700,0,12900,0,102000,24200,10300,7400,46300,78000,7200,21900,14500,8000,7400,62700,10300,45700,26100,62600,9100,206000,210500,58900,10600
fmref_main,992000,0,0,1556300,0,1909600,2681600,2188800,1961900,0,992000,4793600,0,0,6460000,2619100,25434000,18197600,2691500,5680300,7740000,2339500,3051000,6808900,2473900,0,26303300,97289900,1919300,92651000,20460300,48847200,4117600
g723_enc_main,0,0,256000,0,409600,51200,179200,281600,0,0,179200,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gsm_dec_main,0,0,8000,2200,96000,0,72000,64000,40000,0,56000,264000,312000,16000,0,0,0,112000,8000,8000,40000,8000,32000,56000,8000,0,40000,88000,8000,240000,288000,40000,8000
gsm_enc_main,0,0,44600,0,177900,63300,106600,76900,24000,0,52900,243100,620000,68000,0,16000,208000,168000,8000,24000,48000,40000,16000,128000,40000,112000,0,128000,24000,432000,400000,104000,32000
h264_dec_main,1318800,0,0,4876400,0,3303800,5956200,7936200,4622300,0,3830800,20457900,21287900,6587600,0,4025500,39265100,17226300,3325400,4312900,4036000,1286000,3752600,18075200,1532500,0,0,0,2058400,18638000,0,25163300,3732600
huff_dec_main,0,0,0,643100,1028000,205800,0,0,901400,0,0,409600,282700,514300,0,514200,312200,0,0,180600,721100,180600,361100,0,180600,540900,2523200,1261700,180600,10451900,2162700,4505300,540900
iir_main,0,0,300,1500,7200,900,1800,6000,300,0,3600,2100,3600,2100,300,300,3300,0,0,3600,3300,900,2400,5700,900,5400,0,8100,900,33300,14700,21000,2700
insertsort_main,0,222400,24000,4800,8000,0,34400,6400,6400,3200,3200,5600,144000,5600,1600,6400,6400,11200,42400,0,4800,3200,4000,12000,3200,10400,14400,11200,3200,48000,40000,26400,4000
jfdctint_main,14700,359100,33600,0,0,27300,58800,49700,18900,45500,35000,123200,110600,31500,17500,13300,70000,128100,16100,16100,0,0,29400,74200,22400,71400,104300,116900,22400,354900,232400,196700,29400
lift_main,0,90700000,0,2400000,5800000,3800000,8099100,14899700,21700000,2200000,2899700,35600000,6199300,15700000,1900000,8000000,14899100,10300000,5700000,2200000,0,3800000,6000000,27100000,3800000,17400000,22900000,28500000,9000000,0,79600000,72800000,0
lms_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ludcmp_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix1_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
md5_main,0,0,0,256000,2560000,1307400,0,785100,512000,0,1284500,3328000,0,768000,0,537600,0,0,768000,256000,1024000,0,2700,0,0,0,0,5888000,537600,15641600,10265600,0,1536000
minver_main,0,0,27600,0,249000,0,90500,125100,0,0,62300,205800,749600,0,41700,0,0,556800,0,24500,75800,36200,42900,0,70700,0,0,0,0,0,0,0,0
ndes_main,0,0,202700,0,1781800,296300,714900,513100,328900,427800,407600,1139600,2783000,393200,168700,239200,0,952500,367400,1502100,375000,230200,762800,389100,494600,250100,0,0,310000,5056900,2545900,3157500,426400
petrinet_main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
powerwindow_main,0,0,25301400,34183200,254515900,0,29103400,72378800,35255800,0,48247000,247289300,222881100,45706400,17677800,21584900,111343200,167787100,32719900,9571500,47367000,0,37793000,162421400,25196900,44731600,0,205592200,27540400,0,0,427296500,0
prime_main,0,0,120300,0,497100,140200,217200,289800,161900,211600,178800,534200,1041100,203100,141000,152500,0,674100,143500,122900,195500,128300,139500,464700,126200,365900,0,593000,113400,0,0,964500,199400
st_main,0,0,52500,0,185000,97400,90300,141000,74700,0,105000,222000,288100,91100,76100,74700,185800,171200,55800,46800,114700,58000,89100,167100,63300,0,0,244900,72900,452200,222400,0,79800
statemate_main,669700,0,0,479900,0,399700,1059900,3440000,1540000,0,1189600,3365800,4818200,1179800,310000,840000,6694000,4310000,650000,1559600,1069500,0,1109500,1460000,359800,1230000,0,4200000,209500,0,9400000,3809700,0
