,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,sha_main,st_main,statemate_main
adpcm_dec_main,77.457053,6423.044489999999,50.211973,50.68342,211.195294,76.273005,51.233126,52.045155,81.22286700000001,67.583305,18848.167652999997,61.82724999999999,63.013356,76.386481,281.583273,146.830984,334.612112,2532.5402910000003,518.812236,104.434969,51.54894,52.737837,53.507131,79.00312,56.240735,82.71145200000001,52.251127,459.180521,96.90625800000001,92.148372,100.414961,283.681593,253.610016,335.239936,201.396303,81.509455,131.636404
audiobeam_main,163.354953,0,115.789197,119.20251300000001,0,899.953657,118.280858,120.742835,153.074962,180.559807,0,156.094944,132.61989,166.746902,754.876043,226.36021499999998,425.76470200000006,2654.946099,0,247.26182900000003,116.509826,123.28702000000001,98.33887,157.16252599999999,124.217164,462.304605,117.695709,1337.436995,0,0,179.281682,0,684.446918,0,2066.915142,0,229.35802
binarysearch_main,50.205524,521.857321,11.908999000000001,13.607492999999998,378.851597,26.586719000000002,14.033466,15.038031,43.393062,27.460333,0,20.879245,24.433886,34.844656,231.615949,106.586589,264.81246899999996,2472.408496,455.46279499999997,61.733309,13.320712,13.724519,16.305393,39.071701,17.987206999999998,39.527592,13.717713999999999,432.476382,51.58176,53.419266,57.671135,263.463229,207.722633,41.603313,123.635825,31.388642,88.81215700000001
bsort_main,50.66664899999999,115.013282,13.605681,13.722556,389.933644,27.145805000000003,15.612979,15.840665999999999,48.937873,28.471082000000003,0,0,25.299055000000003,35.885149,228.207041,106.748327,270.895736,2454.718661,359.34920400000004,63.517807000000005,14.469674999999999,14.539448,18.333386,40.226826,19.443775000000002,40.315461,15.168410000000002,388.109142,54.980321,52.474147,59.715367,131.294556,209.878654,23.768865,122.528486,33.310976,88.842626
cjpeg_transupp_main,203.38606899999996,0,377.849465,390.348701,0,950.691656,380.886578,379.036481,417.84584399999994,432.801225,0,0,403.81131700000003,476.94624699999997,387.950954,576.7754620000001,885.138809,2041.905194,458.805857,527.967339,342.59889499999997,162.243735,164.40435,432.642746,354.499022,540.321662,376.1605420000001,1204.9432180000001,577.656187,523.9728749999999,435.87857299999996,0,0,208.03870400000002,614.541507,1169.282639,235.223588
cjpeg_wrbmp_main,66.022455,130.02017899999998,25.642942,27.158625,374.568445,39.301636,28.005976000000004,30.711667,54.715479,44.540538999999995,0,34.007562,37.696597,45.818025,949.311143,119.883324,1397.64959,2465.289131,1915.0667250000001,75.772825,26.298792999999996,26.337315,57.392041,321.406908,291.28304599999996,547.710058,27.611759,403.82996199999997,68.195807,65.610855,73.063725,141.433825,217.514342,41.357467,133.767909,48.537841,102.44113899999999
complex_updates_main,51.227636000000004,115.06446399999999,14.032833,15.612885,380.77098,27.993450000000003,15.554539,16.728621,43.536541,31.594081,32938.999069,22.858370999999998,27.294393,34.770172,227.68717199999998,106.931282,264.292276,833.849352,379.656856,63.040903,16.482484999999997,15.607365000000001,18.856456,40.980954,19.705727,41.618415,16.245425,410.896492,51.894709999999996,53.692336,62.956565,127.346858,205.423217,23.373656,115.451407,35.572618,85.491081
countnegative_main,52.021708,116.089428,15.035483,15.84055,378.63495,30.697484,16.728587,16.373689999999996,44.236165,30.728133999999997,30949.468547,26.097312000000002,26.815896000000002,39.558801,224.74195600000002,102.18204399999999,269.707634,852.351123,451.31388200000004,64.65055,16.389141000000002,15.815150999999998,18.716835,43.589398,21.99699,43.059735,16.365427,393.16123,53.043401,53.297502,62.747873,127.148732,204.713954,24.375526,116.992356,31.274643999999995,86.523821
cover_main,81.158556,145.390019,43.385603,48.938103,414.786743,54.70331,43.536837,44.236451,68.01388,61.110014,0,53.663092,57.24047,65.83636899999999,270.111287,138.659725,306.62368899999996,885.930331,416.802442,94.87825699999999,45.913185,45.446873,49.092336,72.342659,50.740795999999996,72.895644,46.43610699999999,457.083432,87.557236,86.14379199999999,93.357261,164.969561,243.887643,54.765045,149.921883,65.687073,134.453075
dijkstra_main,67.23432,1349.008511,27.39803,28.476296,423.97935600000005,46.301174,31.600889000000002,30.733776,61.136367,39.457081,0,0,90.92168799999999,55.555285,300.804112,129.15188799999999,312.350198,993.349717,401.674579,83.72725600000001,30.492744000000002,39.015068,34.681069,62.401151999999996,38.957941,60.45798,33.456064,469.510854,74.37197400000001,72.682895,82.811638,169.29321199999998,256.591469,42.083704999999995,148.532302,52.247398000000004,120.47725700000001
