,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,rijndael_dec_main,sha_main,st_main,statemate_main
adpcm_dec_main,161.49561699999998,1815.825115,70.321871,89.31785199999999,0,146.29342400000002,95.907006,73.91814099999999,146.454546,110.984669,34289.998763,108.121421,111.840418,137.854552,548.832836,242.39679999999998,635.1901290000001,1622.888712,881.533802,177.841474,91.192116,100.139062,79.813392,159.635717,77.291114,143.253286,73.624578,728.01606,156.358731,158.69005099999998,180.392686,367.092198,491.075621,292.573431,4254.7482,292.655008,118.75809000000001,202.88311800000002
audiobeam_main,5969.53195,0,850.1008250000001,1396.116984,10952.112243,0,801.6280949999999,1305.8054069999998,5251.075919000001,6521.97488,0,2485.34778,2326.032196,5001.891717,54077.083336,16989.041094,45166.404801,46750.099888,14476.064959000001,27567.083185,829.564768,2620.2222349999997,2115.793404,5052.30143,1316.011328,8361.836637,836.394317,71268.389018,35717.593670999995,21219.419632999998,8227.204625999999,0,44225.294804000005,30524.921870000002,0,52089.286396,44878.124068,15736.167126000002
binarysearch_main,70.471485,859.7681950000001,23.854625,19.982684,204.56476500000002,48.389011999999994,31.964957000000002,22.944418,67.79977099999999,48.764654,0,40.541066,43.17559,58.173756,433.536355,198.501539,452.30224300000003,1565.346039,727.546788,109.137972,21.962193,22.911641,22.907052,64.625541,28.285684,53.17617,29.438931,604.168191,92.394154,105.350523,121.953261,144.814348,276.48874,79.71856100000001,2117.987495,189.47552399999998,56.562316,148.903058
bsort_main,89.61891499999999,1168.0646570000001,19.979765999999998,24.201245999999998,267.192893,51.90907,27.470054,27.736256,83.301536,50.160043,0,0,34.546459999999996,57.922971000000004,392.280931,173.61829600000002,405.241299,1318.146023,620.010255,94.091284,27.601277,23.24178,27.835326000000002,56.795728,33.205555000000004,53.812894,23.739516000000002,581.999852,91.288585,93.48066800000001,98.061361,235.072357,360.954927,122.919633,3424.447384,187.982992,54.63306,152.663298
cjpeg_transupp_main,0,10459.76702,204.565741,267.305163,0,340.79803699999997,206.95233,210.13005200000003,266.208396,214.08896,0,0,239.559108,238.422194,0,357.245058,744.5244600000001,1867.138152,569.307402,309.779908,207.214537,0,0,239.44066299999997,215.027263,247.979237,212.49855100000002,1132.049476,314.916423,285.57865200000003,275.19327,0,0,270.890321,0,486.39721800000007,287.71399299999996,0
cjpeg_wrbmp_main,180.64770299999998,0,49.339251000000004,53.673976,409.542779,1051.047873,58.250201000000004,56.203355,135.41133000000002,125.35666800000001,0,89.63332,96.570076,92.53188300000001,1113.4172720000001,319.468939,847.039876,1665.589977,7809.503624999999,374.788224,54.448418999999994,73.581672,75.914398,104.86094800000001,69.331864,145.74647099999999,41.904816,1691.8696880000002,521.329566,308.371493,216.924533,3295.3671640000002,794.487035,9371.017274,0,834.3026219999999,653.63064,350.72659899999996
complex_updates_main,96.010796,605.948803,31.961026,27.464666,206.813554,57.310176,33.50784,24.534783,64.817215,58.074487,32889.089943,41.019284,49.582335,58.656864,439.116648,153.63361600000002,506.100702,1361.946553,677.420736,107.879419,29.599344000000002,30.348487999999996,30.826949,75.913798,33.277924,64.882612,29.233727,733.734449,99.347374,85.827545,118.603681,232.421039,395.856866,69.20718600000001,1625.195471,213.963248,65.557142,167.217223
countnegative_main,74.22822500000001,1283.682476,22.945671,27.743358,210.12673900000001,55.528554,24.540293000000002,23.329838000000002,87.135334,54.633469000000005,33597.687009,42.348122000000004,43.215374999999995,72.803618,424.420251,163.865318,421.544769,1236.74475,737.7142140000001,111.08787699999999,29.774673,26.633219,35.356318,66.52481399999999,38.092918,65.741995,30.053991,631.385932,74.08927800000001,92.67435900000001,93.08211,250.861515,403.34155899999996,116.323068,4065.306656,200.72769499999998,59.951958000000005,146.38766700000002
cover_main,146.74626800000001,2857.1131789999995,67.702337,83.117322,264.78074200000003,107.71794,64.766422,86.99733900000001,105.91252300000001,94.360185,0,69.894079,99.885456,92.363281,440.15408,250.484703,493.49494300000003,1622.131588,918.860117,187.41629799999998,76.64911699999999,94.145725,107.317974,140.19727,75.35188,204.267539,75.162328,871.402334,199.790726,175.10141800000002,226.70949000000002,432.239329,584.6230439999999,318.970342,6928.007404,300.738542,143.439572,220.134819
dijkstra_main,111.136302,2016.319332,48.63766,49.951811,211.0772,83.19633300000001,57.946327999999994,54.309209,94.094053,71.66726299999999,0,0,60.05597,84.910108,369.09353699999997,224.794454,529.217159,1781.110988,762.94235,166.937068,50.388065,58.778279,70.621848,96.778561,60.238313000000005,84.14359,55.390271999999996,737.544851,109.405485,141.08696799999998,131.410891,261.351765,427.27865299999996,229.63656299999997,4810.7145279999995,218.434667,117.802689,203.09819900000002
