Task,Intra,Inter
powerwindow,191226388,797400
minver,329356,17500
binarysearch,12783,900
prime,1398075,45400
insertsort,97236,3800
fir2dim,511481,7400
petrinet,124353,33600
iir,18798,900
st,5109938,41300
md5,2277540670,14000
cjpeg_transupp,2918688404,333700
ndes,3123415,123000
adpcm_dec,208284,14300
dijkstra,46128756839,0
statemate,2445155,5853100
gsm_enc,616017926,81800
fmref,54131056,98700
pm,820053970,15900
g723_enc,191015199,8600
huff_dec,45566952,22400
lift,40973229,950000
h264_dec,93267653,401300
audiobeam,47194913,34500
gsm_dec,77624170,49300
sha,275763282,0
jfdctint,56796,34800
