Task,Intra,Inter
powerwindow,191226388,24229600
minver,329356,31800
binarysearch,12783,900
prime,1398075,205400
insertsort,97236,4000
fir2dim,511481,21700
petrinet,124353,36900
iir,18798,900
st,5109938,67700
md5,2277540670,1049600
cjpeg_transupp,2918688404,54834500
ndes,3123415,609500
adpcm_dec,208284,67700
dijkstra,46128756839,0
statemate,2445155,7355600
gsm_enc,616017926,506000
fmref,54131056,934600
pm,820053970,787100
g723_enc,191015199,51200
huff_dec,45566952,205500
lift,40973229,22980400
h264_dec,93267653,5143600
gsm_dec,77624170,462000
sha,275763282,200
jfdctint,56796,39200
