,adpcm_dec,audiobeam,binarysearch,bsort,cjpeg_transupp,cjpeg_wrbmp,complex_updates,countnegative,cover,dijkstra,epic,fft,filterbank,fir2dim,fmref,g723_enc,gsm_dec,gsm_enc,h264_dec,huff_dec,iir,insertsort,jfdctint,lift,lms,ludcmp,matrix1,md5,minver,ndes,petrinet,pm,powerwindow,prime,sha,st,statemate
adpcm_dec,17200,17200,8400,16700,17200,14600,7500,10700,17200,17200,17200,17200,14600,17200,17200,17200,17200,17200,17200,17200,3900,4900,16500,17200,17200,17200,17200,17200,16900,17200,17200,17200,17200,11000,17200,10500,17200
audiobeam,4400,0,400,3000,0,3000,3000,3000,3000,3000,0,3000,3000,3000,3000,3000,3000,3000,0,3000,0,3000,3000,3000,3000,3000,3000,3000,0,3000,3000,0,3000,0,3000,3000,3000
binarysearch,600,300,0,300,300,300,200,300,300,300,0,300,300,300,300,300,300,300,300,300,0,0,100,300,300,300,0,300,300,300,300,300,300,300,300,300,300
bsort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cjpeg_transupp,5200,0,300,700,0,3100,1400,1100,3600,3500,0,0,2100,2700,6600,3000,3200,3200,3000,3500,600,300,1300,3100,3400,3600,1800,3400,3300,3400,6000,0,0,700,6800,2100,6400
cjpeg_wrbmp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
complex_updates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
countnegative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dijkstra,0,200000,0,0,200000,300,0,0,48700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epic,27000,0,0,0,0,0,18100,8700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fir2dim,4700,1400,200,1200,1200,1100,4800,600,7100,2600,0,6600,6600,6600,7400,7400,7400,7400,7400,7400,300,1300,1500,7400,7400,7400,3700,7400,4500,7400,5100,7400,7400,5100,7400,1100,7400
fmref,150800,537600,20200,631900,531200,531200,85800,437900,513600,1961900,0,774400,418100,118900,2121900,2473900,1801900,2115500,2032300,1863400,29500,59900,162200,2115500,673100,2109100,1347800,1878700,106600,1761100,60300,1878700,2032300,193900,2038700,762500,827100
g723_enc,20400,76800,800,0,51200,51200,100,2400,51200,0,0,0,51200,61900,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gsm_dec,14800,16000,0,2200,16000,1700,6700,400,16000,8000,0,24000,400,3200,24000,8000,8000,8000,8000,8000,200,0,1000,8000,8000,8000,8000,8000,4600,8000,2900,8000,8000,3700,8000,200,8000
gsm_enc,28700,18900,4500,18200,662900,22900,16000,7200,18300,16000,0,0,10400,21000,34000,26000,28000,16000,16000,16000,0,300,8100,16000,16000,16000,8300,16000,10200,16000,5500,16000,16000,14900,16000,8600,16000
h264_dec,155900,0,35500,433400,1113400,951200,84000,121000,639300,2250900,0,7835400,1000500,174900,723100,2175600,1710400,2136100,2399600,999800,7200,31300,157600,630400,1166100,2247900,455100,2371000,167800,1229600,142300,0,457700,298600,660800,131500,1458200
huff_dec,3000,154500,0,103600,128700,128800,5400,0,0,155100,0,51200,0,800,25700,154600,0,103100,26200,138200,1400,1100,3000,155100,67600,155100,155100,155100,9300,97700,6800,155100,155100,55800,155100,52700,132600
iir,300,900,300,100,900,600,300,300,1200,300,0,300,1200,300,300,900,300,300,300,300,100,200,800,900,900,900,900,900,900,900,900,900,900,900,900,700,900
insertsort,5100,1600,100,200,1600,800,300,800,1600,2400,0,800,1600,800,800,2400,800,2400,800,800,300,800,300,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1300,1600
jfdctint,11900,19600,6500,2900,13300,20300,9000,8100,19600,14700,0,21000,13400,14000,11900,15400,15400,13300,15400,21000,3500,4100,4800,18900,18900,18900,18900,18900,18900,18900,18900,18900,18900,13700,18900,12100,18900
