Benchmark,adpcm_dec,binarysearch,cover,fir2dim,fmref,huff_dec,iir,insertsort,jfdctint,ndes,st,statemate,AVG
adpcm_dec,0.93,0.93,0.85,0.5,0.46,0.61,0.93,0.93,0.9,0.63,0.5,0.97,0.76
binarysearch,1.0,0.98,0.96,0.6,0.76,0.76,1.0,1.0,0.96,0.75,0.71,0.94,0.87
cover,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fir2dim,0.97,0.99,0.99,0.8,0.85,0.88,0.99,0.96,0.98,0.9,0.9,0.99,0.93
fmref,0.99,0.96,0.97,0.92,0.76,0.79,0.96,0.91,0.89,0.39,0.56,0.95,0.84
huff_dec,1.0,1.0,1.0,0.99,0.99,0.97,0.99,1.0,0.98,0.97,0.9,0.99,0.98
iir,1.0,1.0,0.81,0.91,0.85,0.91,0.94,0.85,0.89,0.73,0.49,0.92,0.86
insertsort,0.86,0.8,0.96,0.96,0.41,0.9,0.7,0.98,0.96,0.91,0.8,0.98,0.85
jfdctint,0.97,0.74,0.75,0.45,0.48,0.46,0.86,0.87,0.72,0.49,0.32,0.9,0.67
ndes,0.92,0.96,0.93,0.78,0.61,0.84,0.91,0.72,0.93,0.74,0.56,0.96,0.82
st,1.0,0.99,0.99,0.96,0.96,0.98,0.99,0.99,0.98,0.97,0.93,1.0,0.98
statemate,0.28,0.97,0.73,0.07,0.63,0.1,0.92,0.82,0.88,0.67,0.67,0.98,0.64
audiobeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bsort,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cjpeg_transupp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cjpeg_wrbmp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
complex_updates,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
countnegative,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dijkstra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epic,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93
fft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
filterbank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
g723_enc,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gsm_dec,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gsm_enc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h264_dec,0.74,0.52,0.93,0.11,0.81,0.21,0.96,0.96,0.96,0.29,0.8,0.98,0.69
lift,0.88,0.95,0.82,0.63,0.92,0.86,0.91,0.96,0.98,0.68,0.44,0.94,0.83
lms,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ludcmp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
matrix1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
md5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minver,0.97,0.94,0.78,0.65,0.33,0.4,0.97,0.93,0.85,0.7,0.5,0.9,0.74
petrinet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pm,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99,0.99,1.0,1.0
powerwindow,0.89,0.89,0.74,0.44,0.5,0.53,0.83,0.95,0.8,0.5,0.32,0.91,0.69
prime,0.99,0.73,0.9,0.77,0.31,0.74,0.94,0.94,0.92,0.77,0.62,0.97,0.8
rijndael_dec,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sha,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tatemate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
